stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,65.89,922.46,0,0,0,0,0,0,26.36,0,0
  5-6,42.91,809.11,0,0,12.26,36.78,0,12.26,12.26,0,0
  7-9,13.14,21.03,26.29,47.32,15.77,504.71,23.66,149.84,2.63,2.63,0
 10-12,0,6.29,6.29,28.32,15.73,226.58,6.29,100.7,0,0,9.44
