stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,22,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,16,8,1,0,0,0,29,1,0,0,1,7,0,0,2,0,0
 24-34,0,0,0,31.19,3.28,0,2.46,0,11.49,0,1.64,0.82,0,3.28,4.1,0.82,0,0,0,10.67,0,0,9.03,42.68,11.49,2.46,0.82,0,0,125.59,0,0,0.82,0,11.49,0,0,5.75,0,2.46
 36-46,0,0,0,21.75,0.81,0,7.25,1.61,7.25,1.61,3.22,0.81,0,4.03,5.64,0,0,0,0,15.31,2.42,0.81,6.45,50.76,7.25,0,0,0,0,146.63,0,0,0,0,5.64,0,0,3.22,0,0.81
 48-58,0,0,0,5.74,0.57,0,14.35,0.57,4.59,10.33,12.05,0,1.15,2.87,2.3,0.57,0,0,5.16,17.79,5.74,0.57,5.16,29.84,1.72,1.15,1.15,0,0,83.2,0,0,0,0,15.49,0,0,4.59,0,0.57
 60-70,0,0,0,12.76,0,0,18.65,0.98,10.8,22.58,21.59,0.98,0,8.83,1.96,0.98,0,0,6.87,33.37,4.91,0.98,3.93,40.24,2.94,0,0.98,0,1.96,81.47,0,0.98,0,0,6.87,0,0,4.91,0,0.98
 72-82,0,0.98,0,6.87,4.91,0,17.67,0.98,6.87,32.39,41.23,0.98,0,10.8,3.93,2.94,0,0,4.91,63.81,13.74,0.98,3.93,27.49,0.98,0,0,0,1.96,73.62,0,1.96,0,0,5.89,0,0.98,12.76,0,4.91
 84-94,0,1.06,0,16.99,2.12,0,22.3,0,15.93,16.99,27.61,4.25,0,24.43,14.87,1.06,1.06,0,21.24,37.17,14.87,1.06,0,19.12,2.12,1.06,0,0,1.06,189.04,0,0,0,0,0,1.06,3.19,12.74,2.12,1.06
 96-106,0,1.09,0,21.86,4.37,2.19,18.58,1.09,15.3,13.11,31.69,8.74,0,19.67,4.37,3.28,0,3.28,14.21,54.64,22.95,1.09,2.19,20.76,0,1.09,2.19,0,2.19,173.76,0,2.19,0,0,3.28,4.37,3.28,25.14,0,2.19
108-118,0,0.77,0,33.7,0.77,2.3,19.15,0,22.98,22.21,31.4,9.96,0,19.15,16.85,3.83,1.53,0.77,29.11,35.23,16.09,2.3,0.77,23.74,2.3,0.77,1.53,0,7.66,180.77,0,0,0,0,0.77,3.83,0,16.85,0,10.72
120,0,0,0,39.2,1.96,0,7.84,0,7.84,23.52,29.4,0,0,17.64,7.84,3.92,1.96,0,15.68,27.44,7.84,0,0,11.76,1.96,1.96,3.92,0,5.88,129.35,0,3.92,0,0,1.96,0,0,23.52,0,0
