stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,neural,otic,presomitic_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,0
 24-34,0,0,0.82,0,0.82,0,0,3.28,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,7.25,0,0,1.61,0
 48-58,0,0,0,1.72,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0.98,0,0,0.98
 72-82,0,0.98,0,2.94,0,0.98,0,2.94,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,2.12,0
 96-106,0,0,0,0,0,1.09,1.09,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0
