stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,8,848,31,0,4,0,3,0,1,11,1,6,0,13,0,0,0,1,178,3,0,69,103,3,1,2,12,0,48,26,3,2,27,25,0,0,1,0,0
 24-34,0,4.1,207.68,1.64,0,6.57,0,18.06,0,0.82,6.57,0,4.93,0,0.82,0,0.82,0.82,0,114.1,0.82,2.46,29.55,95.22,4.93,0,0.82,0,0,16.42,0,1.64,2.46,4.93,9.03,0,0,0,0,0
 36-46,0,0,38.67,0,0,5.64,0.81,14.5,6.45,0.81,1.61,0,8.06,0,0,0,0,0.81,0,76.54,0,8.86,11.28,153.88,3.22,0.81,1.61,0,0,3.22,0,1.61,2.42,0.81,21.75,0,0,1.61,0,0
 48-58,0,0,16.07,0,0,17.21,0,11.48,8.61,11.48,0,0,1.15,0,0,0,0.57,0,0.57,53.36,0.57,6.31,9.18,333.38,1.15,0,0,0,0,3.44,0,0,5.74,0,43.04,0,0,1.72,0.57,0.57
 60-70,0,0,9.82,0.98,0,46.13,2.94,0,5.89,44.17,0.98,0,1.96,0,0,0,1.96,0,0,41.22,0,6.87,1.96,740.07,0.98,0.98,0,0,0,4.91,0,0,3.93,0,73.61,0,0.98,0,0.98,0.98
 72-82,0,0,12.76,0.98,0,100.13,7.85,1.96,23.56,95.22,0.98,0,0,0,0,1.96,0,0,0,73.62,0,1.96,10.8,956.14,0,0.98,0,0,0,2.94,0,0,0.98,0,47.12,1.96,1.96,2.94,0,0
 84-94,0,0,10.62,0,0,94.52,8.5,5.31,16.99,63.72,0,0,1.06,1.06,0,3.19,0,0,0,50.98,0,4.25,9.56,519.34,0,3.19,1.06,0,0,3.19,0,0,0,0,27.61,1.06,1.06,3.19,2.12,2.12
 96-106,3.28,0,15.3,1.09,1.09,78.68,12.02,1.09,9.84,59.01,2.19,0,0,2.19,0,0,1.09,2.19,0,48.09,1.09,6.56,3.28,481.95,1.09,5.46,1.09,0,1.09,5.46,0,0,4.37,0,21.86,1.09,0,0,3.28,0
108-118,0.77,0,9.19,1.53,0,67.4,9.96,2.3,14.55,59.75,1.53,0,0,0.77,0,0.77,0,2.3,0.77,43.66,0,1.53,9.19,533.88,1.53,2.3,1.53,0,0.77,2.3,0,0,2.3,0,18.38,0,0,1.53,3.06,0
120,0,0,15.68,0,0,70.55,7.84,0,9.8,45.08,0,0,0,3.92,0,0,0,1.96,0,35.28,0,1.96,1.96,595.77,0,0,1.96,0,0,0,0,0,0,0,33.32,0,0,3.92,0,0
