stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,15.6,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,1.61,1.61,0,0,0,0,113.6,1.61,0.81,0,0,7.25,0,0
 48-58,0,0.57,0,11.48,2.3,0,0,0.57,0,196.82,0,2.3,0,1.15,18.36,0,0
 60-70,0,0,0,42.21,5.89,0,0,0.98,0,190.42,0,0.98,0,0.98,7.85,0,0
 72-82,0,2.94,0.98,79.51,7.85,0,0,3.93,0,226.76,0,0.98,0,1.96,10.8,0.98,0.98
 84-94,0,0,3.19,26.55,5.31,0,0,1.06,1.06,76.47,0,3.19,0,0,1.06,0,0
 96-106,0,0,1.09,37.16,6.56,1.09,1.09,2.19,0,77.59,0,2.19,0,0,2.19,0,0
108-118,0,0,0.77,32.94,3.06,0,0,2.3,0,63.57,0,1.53,0,0,3.83,0,0
120,0,0,0,17.64,0,0,0,5.88,0,86.23,0,0,0,0,3.92,0,0
