stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,3,10,0,0
 24-34,0,14.78,0,0,0,0,0,0,0.82,0,0,0.82,8.21,0.82,0,5.75,4.1,1.64,0,0,0.82,0,0.82,59.1,0,0
 36-46,0,3.22,0,0.81,0,0,0,0,0,0,0.81,0,10.47,0,0,2.42,3.22,1.61,0,0,0.81,0,0,44.31,0,0
 48-58,0,2.3,0,0.57,0,0,0,0,0,0,4.02,0,6.31,0,0,2.87,2.3,0,0,0,0.57,0,0,44.76,0,0
 60-70,0,4.91,0,0,0,0,0,0,0,0,3.93,0,7.85,0,0,0,0,0,0.98,0,5.89,0,1.96,29.45,0,0
 72-82,0,3.93,0,0.98,0,0,2.94,0,0.98,0.98,9.82,0,21.6,0,0,0.98,0.98,0.98,0,0,8.83,0,0,73.62,0,0
 84-94,0,8.5,0,0,0,1.06,0,1.06,0,0,19.12,0,14.87,0,0,0,2.12,0,1.06,0,29.74,1.06,0,67.97,0,0
 96-106,0,4.37,1.09,1.09,1.09,0,3.28,0,0,1.09,36.06,0,10.93,0,0,3.28,6.56,0,0,1.09,16.39,0,1.09,83.06,1.09,0
108-118,0,8.43,0,0,0,0,0,0.77,0,1.53,19.15,0.77,11.49,0.77,0.77,0,3.83,0.77,0,2.3,19.92,1.53,0,52.09,0,0.77
120,0,7.84,0,0,1.96,0,0,0,0,0,11.76,0,7.84,0,0,1.96,1.96,0,0,0,5.88,0,0,90.15,0,0
