stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,1,0,9,0,5,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,43.51,2.46,0.82,0,7.39,0.82,13.13,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,1.61,0.81,105.54,6.45,0.81,0,3.22,0,14.5,0,0,0
 48-58,0,0,0,0,5.16,0,0,3.44,0,0,0,0,0,0,0,1.72,0.57,102.71,4.02,0.57,0,2.3,0,16.07,0,0.57,0.57
 60-70,0,0,0,1.96,28.46,0,0,1.96,0,0,0,0,0,0,1.96,0,0.98,167.84,1.96,0,0,1.96,0,19.63,0,0,0
 72-82,0,0,0.98,0,50.06,0,0.98,1.96,0.98,0.98,0,0,0,0,0,4.91,0,119.76,2.94,0.98,0,0.98,0,16.69,0.98,0,0
 84-94,0,0,0,0,35.05,0,0,4.25,0,1.06,0,1.06,1.06,1.06,0,2.12,0,81.78,4.25,1.06,0,3.19,0,10.62,1.06,1.06,0
 96-106,0,0,1.09,3.28,20.76,0,0,1.09,2.19,0,0,0,0,0,2.19,1.09,0,50.27,3.28,1.09,0,2.19,0,3.28,0,1.09,0
108-118,0,0,0,2.3,14.55,0,0,2.3,2.3,0,0.77,0.77,0,0.77,0.77,2.3,0,52.85,3.06,0.77,0,1.53,0,3.83,1.53,0,0
120,0,0,0,1.96,13.72,1.96,0,7.84,0,0,1.96,0,0,0,0,0,0,76.43,1.96,1.96,0,3.92,0,1.96,0,0,0
