stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1779.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1005.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,113.03,10.51,0,0,42.06,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,3.15,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,34.62,3.15,3.15,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,27,1,1,0,0,1,0,1,0,0,1,7,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,0,9.03,0,0,1.64,0.82,0,0.82,0,2.46,0,0,0,0,4.1,0,0,4.1,50.07,0,0,0,0,4.93,0,0,2.46,1.64,0.82,13.95,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,9.67,1.61,0.81,1.61,0,0,0,0,0,0,0.81,0,0,5.64,0,0.81,4.83,65.26,0,0,0,0,4.03,0,0,0,0.81,0,14.5,0,0,0.81,0,0
 48-58,0,0,0,1.72,0.57,0,15.49,0.57,0,5.74,0,0.57,1.15,0.57,1.15,0,1.15,0.57,0,10.33,0.57,0.57,1.72,59.1,0,1.15,0,0,0.57,0,0,0.57,1.15,0,8.03,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,27.48,0,0,11.78,0,0.98,0.98,0.98,0,0.98,0,0,0.98,4.91,0.98,0,0,86.37,0,0,0.98,0,0,0,0,0,0.98,0,20.61,0,1.96,1.96,0,1.96
 72-82,0,0,0,2.94,0,0,37.3,0,0,10.8,0,0,0,0,0,0,0,0,0,11.78,1.96,0,1.96,72.64,0,0,0,0,3.93,0,0,0.98,0,0,6.87,0,0,2.94,1.96,0
 84-94,0,0,0,0,1.06,0,28.68,0,0,7.43,1.06,0,1.06,3.19,3.19,0,0,0,0,10.62,0,0,1.06,32.92,0,1.06,1.06,0,6.37,0,0,0,0,0,2.12,0,0,2.12,0,0
 96-106,0,0,0,2.19,0,0,17.49,0,0,6.56,2.19,0,0,0,0,1.09,0,1.09,0,3.28,0,2.19,0,29.51,0,1.09,1.09,0,9.84,0,0,0,2.19,0,3.28,0,0,0,0,0
108-118,0,0,0,4.6,1.53,0.77,17.62,0.77,0.77,6.13,0,0,0,0.77,1.53,0.77,0,0,0,6.89,0,0,0,29.87,0,0.77,0,0,4.6,0,0,0,0,0,0.77,1.53,0.77,0.77,0.77,0
120,0,0,0,5.88,0,0,13.72,0,0,9.8,1.96,0,0,0,0,0,1.96,0,0,1.96,0,1.96,3.92,27.44,0,1.96,0,0,3.92,0,0,0,1.96,0,0,0,0,5.88,0,0
