stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,10,0,0,0,4,0,0,1,0,0,0,0,0,19,9,0,0,2,71,0,1,0,0,3,4,1,0,5,20,0,0,1,0,68
 24-34,0,0,1.64,5.75,97.68,11.49,0,212.6,0.82,8.21,7.39,27.09,7.39,1.64,5.75,4.93,17.24,11.49,4.93,10.67,27.91,172.38,1.64,1.64,96.04,1894.54,24.63,18.88,16.42,0,135.44,0,14.78,10.67,36.94,334.09,0,0,72.24,0,256.93
 36-46,0,0,0,0,33.03,3.22,0,333.55,3.22,8.06,4.83,55.59,1.61,0,6.45,4.83,3.22,9.67,3.22,8.06,17.72,166.77,2.42,0,49.15,1536.41,17.72,12.89,8.06,0.81,92.65,0,6.45,7.25,4.03,378.66,0,1.61,24.17,0,305.35
 48-58,0.57,0,0.57,0,32.71,9.18,0,568.64,6.31,8.03,9.75,103.28,0.57,1.72,4.59,10.9,0.57,22.38,4.02,1.72,11.48,237.56,3.44,2.87,42.46,1257.78,9.75,8.61,10.9,0.57,43.61,0,2.87,1.15,0,287.48,0,1.15,21.8,0.57,386.74
 60-70,1.96,0,1.96,0,13.74,9.82,0,423.04,5.89,8.83,8.83,67.73,0.98,0,0.98,2.94,0.98,12.76,3.93,0.98,2.94,149.19,3.93,6.87,11.78,674.31,1.96,7.85,7.85,0,23.56,0,0.98,0.98,0,117.78,1.96,1.96,15.7,0,392.61
 72-82,0,0,1.96,0,26.5,25.52,0.98,379.9,1.96,7.85,10.8,67.73,3.93,0.98,4.91,9.82,1.96,7.85,4.91,2.94,4.91,162.96,1.96,6.87,21.6,452.55,0,0.98,7.85,3.93,12.76,0,1.96,0.98,0,41.23,2.94,5.89,13.74,7.85,399.54
 84-94,0,0,3.19,0,40.36,16.99,0,335.6,4.25,9.56,6.37,46.73,3.19,1.06,2.12,9.56,2.12,21.24,1.06,3.19,3.19,113.64,3.19,15.93,10.62,243.21,1.06,4.25,7.43,1.06,46.73,0,2.12,0,0,29.74,0,4.25,14.87,6.37,266.57
 96-106,0,0,1.09,0,63.39,37.16,0,350.8,4.37,8.74,6.56,76.5,15.3,0,3.28,17.49,4.37,5.46,6.56,16.39,2.19,170.48,7.65,9.84,15.3,402.17,4.37,6.56,10.93,2.19,75.41,0,4.37,1.09,0,20.76,2.19,3.28,22.95,7.65,298.35
108-118,0.77,0,1.53,0,29.11,14.55,3.83,132.51,1.53,6.13,8.43,36.77,3.06,0,1.53,9.19,2.3,11.49,4.6,10.72,4.6,108,4.6,6.13,10.72,235.92,3.83,5.36,4.6,3.06,41.36,0,0,0,0,7.66,3.06,1.53,13.02,2.3,286.47
120,0,0,0,0,39.2,11.76,1.96,99.95,0,3.92,1.96,31.36,11.76,0,0,1.96,1.96,3.92,7.84,5.88,0,41.16,0,0,11.76,152.86,0,1.96,5.88,0,13.72,0,0,0,0,3.92,3.92,1.96,5.88,0,123.47
