stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,89.38,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.73,0,15.73,0,0,0,298.96,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,3.15,865.42,9.44,0,0,141.61,0,3.15,0,0,31.47,0,3.15,9.44,0,0,0,0,0
 14-21,0,0,8,20,8,0,27,0,8,0,16,4,0,3,0,0,0,2,0,0,35,0,0,72,1258,2,1,16,9,0,5,0,47,5,11,159,551,0,0,1,0,0
 24-34,0,1.64,12.31,12.31,0,0,12.31,0,34.48,4.1,25.45,2.46,0,10.67,0,0.82,0.82,0.82,0.82,0,101.79,0,0.82,36.12,1345.38,0.82,3.28,9.85,0,0.82,40.22,0,0.82,0.82,0.82,36.12,412.89,0,0,21.34,0,0
 36-46,0,0.81,0,8.06,0,0,11.28,0,10.47,4.83,83.79,2.42,0,8.86,0,0,0,3.22,0,0,150.66,0.81,4.83,19.34,945.05,0,1.61,9.67,0,1.61,74.12,0,0,0,0,0,223.17,0,0.81,17.72,0,0.81
 48-58,0,0.57,1.15,14.35,0,0,51.64,0.57,12.05,9.75,133.12,3.44,0.57,8.03,0.57,0,0,4.02,0.57,0.57,237.56,0.57,9.18,14.92,537.08,0,5.16,15.49,0,1.72,92.96,0,0,0.57,0,0,157.8,0,2.87,16.64,0,1.15
 60-70,0,0.98,0,24.54,0.98,0,90.3,0.98,19.63,4.91,116.8,8.83,0,6.87,0.98,0.98,0,3.93,0.98,0,262.07,0,11.78,16.69,331.75,0,1.96,12.76,0,2.94,82.45,0,0,0,0.98,0,58.89,0.98,2.94,6.87,5.89,0
 72-82,0,0.98,0,26.5,0,0,115.84,1.96,4.91,6.87,148.23,14.72,0.98,3.93,4.91,0.98,0,6.87,1.96,0,372.05,0,23.56,21.6,294.5,0,12.76,19.63,0,3.93,38.28,0,0,0,0,0,20.61,2.94,9.82,11.78,29.45,0.98
 84-94,0,1.06,0,30.8,2.12,0,95.58,1.06,26.55,5.31,82.84,22.3,0,5.31,5.31,2.12,0,8.5,0,0,223.03,0,14.87,12.74,149.75,0,9.56,31.86,0,4.25,112.58,0,0,1.06,0,0,23.36,5.31,8.5,11.68,13.81,0
 96-106,0,0,0,48.09,1.09,2.19,62.29,2.19,26.23,5.46,112.56,21.86,0,4.37,9.84,2.19,0,5.46,3.28,0,191.25,3.28,8.74,13.11,169.39,0,9.84,28.41,0,7.65,98.36,1.09,0,1.09,0,0,2.19,8.74,6.56,9.84,31.69,0
108-118,0,0.77,0,35.23,1.53,0,47.49,0.77,43.66,5.36,91.92,29.87,0,1.53,10.72,2.3,0,5.36,2.3,0,169.28,4.6,6.89,16.09,133.28,0.77,6.89,19.92,0,6.13,62.04,0,0,2.3,0,0,4.6,5.36,6.13,11.49,14.55,0
120,0,1.96,0,39.2,1.96,0,62.71,0,27.44,3.92,141.1,19.6,0,5.88,15.68,3.92,0,7.84,0,0,150.9,1.96,3.92,13.72,139.14,1.96,7.84,21.56,0,7.84,35.28,0,0,0,0,0,1.96,7.84,5.88,7.84,17.64,0
