stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,342.63,4954.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,171.63,2169.89,12.26,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,147.11,0,0,0,24.52,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,5.26,23.66,21.03,0,0,0,15.77,0,0,0,0,34.17,0,0,0,0,0,0,0,199.78,5.26,0,0,649.29,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,3.15,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,72.38,15.73,0,0,645.13,0,0,0,3.15,9.44,0,25.18,0,0,0,0
 14-21,0,0,0,5,13,0,7,0,0,0,1,0,19,0,0,0,72,0,177,34,1,0,1,3,0,0,0,572,0,7,517,5,0,0,0
 24-34,0,0,0,2.46,0,0,17.24,0,0.82,0,0,0,7.39,0,0,0,50.07,0,49.25,25.45,0,0.82,0,0,0,0.82,0,3.28,0,0,86.19,4.1,0,1.64,0
 36-46,0,0,0,0,0,0,8.86,0,8.86,0.81,0,0,9.67,0,0,0,52.37,0,11.28,7.25,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,9.18,0.57,7.46,2.3,0,0,12.62,0,0,0,88.94,0.57,4.59,16.07,0,0,0,0,0,0,0,0,0,0.57,0,3.44,0.57,0.57,0
 60-70,0,0,0,0.98,0,0,3.93,0.98,10.8,1.96,0,0,14.72,0,0,0,182.56,1.96,0,8.83,0,1.96,0,0,0,0.98,0,0,0,0,0,1.96,4.91,0,0.98
 72-82,0,0,0,0,0,0,10.8,0,16.69,3.93,0,0,17.67,0,0,0,229.71,6.87,3.93,12.76,0,0,0,0,0,0,0,0,0,0,0,0.98,16.69,0.98,2.94
 84-94,0,0,0,0,0,0,15.93,1.06,14.87,0,0,0,5.31,0,0,0,128.51,3.19,3.19,4.25,0,0,1.06,0,0,0,0,0,0,0,0,0,22.3,2.12,1.06
 96-106,0,0,0,1.09,0,0,5.46,0,6.56,0,0,0,15.3,1.09,1.09,0,122.4,1.09,1.09,7.65,0,1.09,0,0,1.09,2.19,0,0,0,0,0,1.09,5.46,1.09,2.19
108-118,0,0,0,0,0,0.77,7.66,0.77,9.96,0.77,0,0,6.13,0,0.77,0,91.92,1.53,3.06,3.06,0,0,0,0,0.77,0,0,0,0,0,0,0,1.53,0.77,2.3
120,0,0,0,3.92,1.96,0,1.96,0,11.76,1.96,0,0,7.84,0,0,1.96,92.11,1.96,3.92,9.8,1.96,0,0,0,1.96,0,0,0,0,0,0,0,5.88,0,1.96
