stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
 24-34,0,1.64,0.82,0,0.82,0,0,0,0,0,6.57,0,0,0,0,0.82,0,2.46,1.64,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,9.67,0.81,0,0,0,0,0,1.61,1.61,0,0
 48-58,0,0,1.72,0,0,0,0,0.57,0,0.57,12.62,0.57,0,0,0,0,0,0,0,0,1.15
 60-70,0,0.98,36.32,0,0.98,0,0,1.96,0,0,9.82,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0.98,29.45,0,0,0,0,3.93,0,0.98,21.6,2.94,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,18.05,0,0,0,0,2.12,0,1.06,10.62,0,3.19,0,0,0,0,1.06,0,0,0
 96-106,0,0,15.3,0,0,0,1.09,2.19,0,0,20.76,0,5.46,0,0,0,0,0,0,0,0
108-118,0,0,8.43,0,0.77,0.77,0,2.3,0.77,0,16.85,0.77,3.83,0,0.77,0,0,0.77,0,0.77,0.77
120,0,0,5.88,1.96,1.96,0,0,0,0,0,11.76,1.96,3.92,0,0,0,0,0,0,0,0
