stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,1,10,0,0,0,1,0,5,1,129,34,2,0,0,0,0
 24-34,0.82,4.1,0,0,5.75,89.47,0,0,0.82,0,8.21,0.82,0.82,0,0,0,0.82,6.57,0,0,27.91,54.18,0,0,0.82,0,0,9.03,1.64,89.47,32.83,11.49,0,0.82,0,0
 36-46,0,1.61,0.81,0,10.47,136.16,0,0,0.81,0,6.45,0,0,0,0,0,0,1.61,0,0,12.89,56.4,3.22,0,0,0,0,2.42,0.81,70.9,2.42,15.31,0,1.61,0,0.81
 48-58,0,0.57,0.57,0,26.97,189.93,0,0,5.16,0.57,3.44,0.57,0,0,0,0.57,0,8.03,0,0.57,11.48,72.87,0,1.15,0.57,0.57,0.57,4.59,0,70.58,0,13.77,0,1.72,0,1.15
 60-70,0,0.98,0,0,13.74,137.41,0,1.96,5.89,0,0,0,0.98,0,0,0,0,6.87,0.98,1.96,13.74,42.21,0,0,0.98,0,0,11.78,0,36.32,0,4.91,0,0.98,0,0
 72-82,0,1.96,0,0,16.69,139.4,1.96,0,6.87,0,0.98,0,0,0.98,1.96,0.98,0,9.82,0,0,11.78,44.17,0,1.96,0,0,0,15.71,0,22.58,0,3.93,0,0.98,0,0
 84-94,0,2.12,4.25,0,10.62,152.93,0,1.06,4.25,2.12,1.06,0,0,0,0,1.06,0,7.43,0,2.12,18.05,22.3,1.06,3.19,1.06,0,0,71.16,0,37.17,0,4.25,2.12,2.12,0,0
 96-106,1.09,6.56,4.37,1.09,30.6,300.53,1.09,2.19,7.65,2.19,2.19,1.09,0,0,0,4.37,0,26.23,0,0,16.39,48.09,0,1.09,0,0,1.09,53.55,0,46.99,0,4.37,1.09,2.19,3.28,2.19
108-118,1.53,3.06,0.77,2.3,13.79,189.19,1.53,2.3,1.53,0,1.53,0,0.77,0,0,1.53,0,11.49,0.77,0,25.28,31.4,0,1.53,0.77,0,0,63.57,0,39.06,0,1.53,0,0.77,3.06,2.3
120,0,0,1.96,0,15.68,113.67,0,0,7.84,0,0,0,0,1.96,1.96,0,0,1.96,0,0,17.64,23.52,0,0,0,0,1.96,54.87,0,15.68,0,1.96,0,1.96,0,0
