stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,197.67,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,73.56,747.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,21.03,7.89,2.63,0,0,0,36.8,0,0,0,0,18.4,0,0,0,0,0,0,0,323.33,5.26,0,0,120.92,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,144.76,9.44,0,0,53.5,0,6.29,0,9.44,0,0,0,0,0
 14-21,0,0,3,25,5,0,16,0,0,2,2,1,0,1,0,0,15,0,10,137,0,1,1,5,5,1,15,2,12,28,0,0,0
 24-34,0,0,0,4.1,2.46,0,26.27,0.82,0,2.46,0.82,0,0,0,0,0,18.06,0,4.1,152.68,0,0.82,0.82,0,7.39,0,0,0.82,1.64,33.66,0,0.82,0
 36-46,0,0,0,2.42,2.42,0,53.98,0,0,0.81,0,0,0,0,0.81,0,19.34,0,3.22,117.63,1.61,0,0,0,1.61,0,0,0,0,27.39,0,3.22,0
 48-58,0,0,0,2.3,0.57,0,48.2,0,1.15,4.59,0,0,0,0,0,0,20.66,0.57,2.87,46.48,0,0,0,0,1.72,0,0,0,0,10.9,0,2.3,0
 60-70,0,0,0,1.96,0,0,33.37,0,0,2.94,0,0,0,0,0,0,13.74,1.96,0,30.43,0,0.98,0,0,0,0,0,0,0,2.94,0,0.98,0
 72-82,0,0,0,0,1.96,0,11.78,0,0.98,7.85,0,0,0,0,0,0,10.8,0,1.96,15.71,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,1.06,2.12,0,15.93,0,2.12,2.12,0,0,0,0,0,0,16.99,1.06,0,15.93,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,7.65,0,0,4.37,0,0,0,0,0,0,7.65,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,1.53,6.89,0,0.77,0.77,0,0,0.77,0,0,0,6.89,0,0,12.26,0,0,0,0,0,0,0,1.53,0,0,0.77,0.77,0
120,0,0,0,0,0,0,7.84,0,0,3.92,1.96,0,1.96,0,0,1.96,1.96,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,0
