stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,13.14,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.27,10.51,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,9.44,0,3.15,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.22,15.73,0,0,154.2,0,0,3.15,3.15,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,25,5,11,0,0,9,3,0,0,0,0,0,0,15,0,0,8,171,1,1,4,5,0,0,0,14,8,0,9,74,0,0,0,0,0
 24-34,0,0.82,0,3.28,8.21,1.64,22.98,0,0,16.42,2.46,0.82,0,0,0.82,2.46,0,26.27,0,0,11.49,224.09,2.46,6.57,2.46,0,0,0,0,0,4.93,0,2.46,71.41,0,0,4.93,0,0
 36-46,0,0,0,0,7.25,0.81,37.06,0.81,1.61,12.89,0,0,1.61,0,0,0,0,25.78,0,1.61,8.86,213.5,0,7.25,1.61,0,0,1.61,0,0.81,3.22,0,0,58.81,0,0,1.61,0,0
 48-58,0,0,0,0,7.46,0,83.2,0.57,1.15,17.79,0,1.15,0,0,0.57,0.57,0,40.17,0,1.15,9.18,211.73,0.57,6.31,0.57,0,0,0,0,0,1.15,0,0,33.85,0,0,1.72,0,0.57
 60-70,0,0,0,0,3.93,0,106,0.98,0.98,31.41,0.98,1.96,0.98,0,0,0.98,0.98,50.06,0,0,4.91,209.06,0.98,7.85,3.93,0,0,0.98,0,0,1.96,0,0,31.41,0,0.98,2.94,0,0.98
 72-82,0,0,1.96,0,9.82,1.96,109.95,0.98,3.93,39.27,2.94,0,0.98,0,0,0,0,46.14,0,0.98,7.85,183.57,0,12.76,1.96,0,0,3.93,0,0,0.98,0,0,15.71,0,2.94,3.93,1.96,0.98
 84-94,0,0,2.12,0,4.25,0,71.16,2.12,2.12,19.12,2.12,0,0,0,1.06,1.06,0,46.73,0,3.19,4.25,95.58,0,7.43,2.12,0,0,2.12,0,0,1.06,0,0,13.81,0,2.12,4.25,3.19,0
 96-106,0,0,0,0,4.37,0,46.99,1.09,0,32.79,3.28,0,2.19,1.09,0,3.28,1.09,44.81,1.09,1.09,4.37,73.22,0,16.39,3.28,0,1.09,2.19,0,0,1.09,0,0,8.74,0,2.19,3.28,2.19,1.09
108-118,0,0,0.77,0,13.02,0.77,39.06,1.53,0.77,25.28,1.53,0.77,3.83,0.77,0.77,4.6,1.53,32.94,0,0.77,9.96,98.04,0.77,10.72,5.36,0,0.77,0.77,0,0,0.77,0.77,0,7.66,0.77,2.3,2.3,1.53,1.53
120,0,0,3.92,0,21.56,0,43.12,0,0,29.4,3.92,0,0,0,0,0,0,35.28,0,1.96,0,143.06,9.8,7.84,5.88,0,0,3.92,0,0,1.96,0,0,3.92,0,1.96,5.88,0,0
