stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,331.22,0,0,0,78.86,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,9.44,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.75,3.15,0,0,125.88,0,3.15,3.15,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,382,1,0,21,0,1,0,1,3,1,1,2,0,0,10,1,0,8,43,3,0,1,6,0,20,0,27,1,2,43,16,0,0,0,1
 24-34,0,0,230.66,0.82,0,22.16,0,11.49,7.39,2.46,0,0,0.82,1.64,0.82,0.82,39.4,5.75,0,11.49,79.62,1.64,0.82,0,0,0,18.06,0,0,1.64,0,7.39,20.52,0,1.64,0,0.82
 36-46,0,0,72.51,0,0,15.31,0.81,9.67,4.83,1.61,0.81,0,0.81,0,3.22,0,45.12,0.81,0,8.86,66.87,2.42,0.81,0.81,0,0,12.09,0,0,0,0.81,0,12.89,0,1.61,0,0
 48-58,0,0,28.69,0,0,8.03,0.57,8.03,12.05,1.15,0,0,0.57,0,2.87,0,41.89,0,1.15,3.44,58.53,1.15,0,0.57,0,0,5.16,0,0,0,0,0,11.48,0,0,0,0
 60-70,0,0,2.94,0,0,22.58,0.98,3.93,11.78,3.93,0.98,0,0,0,0,0,27.48,0,0.98,3.93,80.48,1.96,0,0.98,0,0,2.94,0,0,0,0,0,10.8,0.98,0.98,0,0
 72-82,0,0,7.85,1.96,0,22.58,0,4.91,17.67,3.93,0,0,0,0,4.91,0,32.39,0.98,1.96,5.89,77.55,0,0,0,0,0,3.93,0,0,0,0,0,4.91,0.98,0,0.98,0
 84-94,0,0,18.05,1.06,0,7.43,0,9.56,18.05,7.43,0,0,0,0,1.06,0,24.43,0,3.19,0,32.92,0,0,0,0,0,1.06,0,0,0,0,0,4.25,2.12,0,2.12,0
 96-106,0,0,5.46,4.37,0,12.02,0,1.09,8.74,2.19,0,0,2.19,0,2.19,0,15.3,0,1.09,1.09,19.67,2.19,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,7.66,0.77,0.77,13.02,0,5.36,4.6,3.83,0,0,0,0,0.77,0.77,17.62,0,0.77,1.53,27.57,0.77,0,0,0,0,0,0,0,0,0,0,1.53,0,2.3,1.53,0
120,0,0,1.96,0,0,7.84,0,1.96,9.8,1.96,0,0,0,0,0,0,15.68,0,1.96,0,35.28,0,0,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,1.96,0
