stage,blastomeres,endoderm,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pronephros,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,10.51,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,12.59,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,1.15,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0
