stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,54,0,0,0,0,0,0,0,0,49,1,0,0,1,2,0,0,0
 24-34,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,7.39,0,0,0,0.82,0,9.85,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,5.16,2.3,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0,9.18,0,0
 60-70,0,0,0,0,0.98,21.59,29.45,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,0.98,0,17.67,74.61,0,0.98,0.98,0,0.98,0,0.98,0.98,0.98,0,0,0,0,4.91,0.98,0
 84-94,0,0,1.06,0,0,16.99,45.67,0,0,0,0,0,0,0,4.25,0,0,1.06,0,0,6.37,0,1.06
 96-106,0,0,1.09,0,2.19,27.32,77.59,0,0,1.09,0,4.37,0,0,8.74,0,0,1.09,2.19,0,4.37,0,0
108-118,0,0,0.77,0,0,16.09,56.68,0.77,0,0,0.77,1.53,0,0,3.06,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,9.8,17.64,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
