stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,2477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,1042.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,7.89,0,0,36.8,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,0,37.76,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,320.99,15.73,0,0,154.2,0,0,6.29,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,50,5,0,5,0,1,0,1,0,0,0,0,0,0,0,0,11,0,0,11,77,2,0,1,1,0,2,21,0,0,29,12,0,0,0,0,0
 24-34,0,0,0.82,53.36,0,0,9.85,0,26.27,0.82,0,0,0,0,0,0,0,0,0,21.34,0,0,21.34,46.79,0,0.82,2.46,0,0,0.82,0,0,0,8.21,12.31,0,0,1.64,0,0
 36-46,0,0,0,41.09,0,0,1.61,0,40.28,6.45,0,0,0,0,0,0,0.81,0,0,48.34,0.81,0,16.92,20.14,0,0,0,0,0,0.81,0,0,0,0,4.03,0,0,1.61,0,0.81
 48-58,0,0,0,39.02,0,0,7.46,0,67.71,6.89,2.87,1.15,0,0,0,0,0,0.57,0.57,58.53,0,0,12.05,14.35,0,0,1.15,0,0,1.72,0,0,0,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,0,34.35,0,0,4.91,0,47.11,12.76,2.94,0.98,0,0.98,0,0,0,0,0,44.17,0.98,0.98,6.87,30.43,0,0,0.98,0,0,7.85,0,0,0,0,3.93,0,0.98,0,0,0
 72-82,0,0,0,63.81,1.96,0,13.74,0,63.81,13.74,12.76,2.94,0,0,0,0,0,0,0.98,138.41,0.98,1.96,18.65,26.5,0,1.96,0,0,0.98,18.65,0,0,0,0,0,0,0.98,0.98,0,1.96
 84-94,0,0,1.06,168.86,1.06,1.06,12.74,1.06,128.51,7.43,6.37,11.68,0,0,1.06,2.12,0,0,0,74.34,2.12,2.12,7.43,16.99,0,0,1.06,0,0,56.29,0,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,127.86,2.19,0,20.76,2.19,142.07,17.49,10.93,8.74,0,0,2.19,0,0,0,0,125.68,3.28,3.28,14.21,20.76,0,0,1.09,0,3.28,57.92,0,0,0,0,3.28,1.09,2.19,1.09,1.09,0
108-118,0,0,0.77,188.43,1.53,0.77,7.66,2.3,177.7,16.09,18.38,13.02,0,0,0.77,2.3,0.77,0,1.53,144,3.06,1.53,14.55,29.11,1.53,0,0.77,0,0.77,64.34,0,0,0.77,0,1.53,0.77,0,1.53,1.53,1.53
120,0,0,0,166.58,0,0,11.76,1.96,103.87,5.88,1.96,7.84,0,0,1.96,1.96,0,0,0,103.87,5.88,5.88,21.56,19.6,0,1.96,0,0,0,76.43,0,0,0,0,0,0,0,0,0,0
