stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,5.75,0,1.64,0,0,1.64,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0.81,0,0,11.28,0,1.61,0,0,2.42,0,4.03,0,0,0,0,0
 48-58,0,0.57,0,0,2.87,0,0,0.57,0,0,0,0,0,3.44,0,0.57,8.61,0,0.57,0.57,0,0,0,4.59,0,0,0,0,1.15
 60-70,0,0,0,0,4.91,0,0,0.98,0,0,0.98,0,0,1.96,0,0,15.7,0,0.98,0,0,0,0,0.98,0,0,0,0,4.91
 72-82,0.98,0,0,0,11.78,0,0.98,0.98,0,0,0,0,0,2.94,0,1.96,16.69,0.98,0.98,0,0,0,0,4.91,0,0,0.98,0,1.96
 84-94,0,1.06,1.06,0,9.56,0,0,0,0,0,1.06,0,0,3.19,0,1.06,7.43,0,1.06,0,0,5.31,0,0,0,0,0,1.06,4.25
 96-106,0,0,0,0,5.46,0,0,1.09,3.28,0,2.19,0,0,1.09,0,0,8.74,0,0,0,0,1.09,0,0,0,0,2.19,0,4.37
108-118,0,2.3,0.77,0.77,4.6,0,0,0.77,0,0,2.3,0,0.77,2.3,0.77,0.77,16.85,0,1.53,0,0,3.83,0,0,1.53,0,0,0,2.3
120,0,1.96,0,0,3.92,1.96,0,0,0,0,5.88,0,0,3.92,0,5.88,19.6,0,5.88,0,0,0,0,1.96,0,1.96,0,0,0
