stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,9.44,0,0,0,9.44,0,0,0
 14-21,0,1,1,1,0,0,0,1,0,0,0,2,4,1,0,0,0,1,56,120,1,0,0
 24-34,0,0.82,0,0.82,4.93,0,0,1.64,0,0,0,0.82,9.03,11.49,0,0,0.82,0,5.75,54.18,2.46,0,0
 36-46,0,0,0,0.81,9.67,0,0,0.81,0,0,0,2.42,5.64,4.83,0,0,0,0,1.61,2.42,2.42,0,0
 48-58,0,0,0,3.44,10.9,0,0,0.57,0,0,0,1.15,8.03,9.75,0.57,0,0,0,4.59,0,0.57,0.57,0
 60-70,0,0,0,1.96,14.72,0,0.98,0,0,0,0,0,2.94,5.89,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,1.96,6.87,0,0,0,0,0,0,1.96,3.93,5.89,0,0,0,0,1.96,0,0,0,0
 84-94,1.06,0,0,2.12,7.43,2.12,0,0,0,0,0,2.12,8.5,2.12,0,0,1.06,0,4.25,0,1.06,0,0
 96-106,0,1.09,2.19,2.19,6.56,2.19,0,1.09,1.09,0,2.19,1.09,5.46,5.46,0,0,1.09,0,5.46,0,0,1.09,1.09
108-118,0,0,0,0.77,11.49,1.53,0.77,0,0,0.77,0,0.77,5.36,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,11.76,0,0,0,0,0,0,1.96,5.88,1.96,0,0,0,0,1.96,0,0,1.96,0
