stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,4585.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,263.57,2378.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,30.65,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,39.43,42.06,0,0,0,113.03,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,906.91,52.57,0,0,678.21,0,2.63,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,34.62,0,6.29,0,44.06,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,582.19,12.59,0,0,330.43,0,6.29,9.44,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,11,52,31,0,57,0,0,19,3,0,1,0,2,0,0,2,57,0,0,29,1080,15,3,7,21,0,10,1,96,1,1,30,272,0,7,0,0
 24-34,0,0,4.1,20.52,5.75,0,238.05,0.82,1.64,17.24,0,0,1.64,0.82,1.64,0,2.46,0.82,92.76,0,0.82,32.83,1207.48,4.1,6.57,5.75,0,0,13.13,0,0.82,0,0,6.57,224.09,0,8.21,0,1.64
 36-46,0,0,0,11.28,1.61,0,384.3,1.61,0,25.78,1.61,0,1.61,0.81,0,3.22,1.61,2.42,75.73,0.81,1.61,27.39,694.49,0,2.42,4.83,0,0,2.42,0.81,1.61,0.81,0,0,128.1,0,4.83,0,0
 48-58,0,0,0,6.89,0.57,0,300.1,0.57,2.3,22.38,0.57,0,0,0.57,1.15,1.15,0,0.57,64.84,0.57,5.16,16.07,243.87,1.15,2.3,1.15,0,0,1.15,0,0,0,0,0,32.13,0,5.74,0,1.15
 60-70,0,0,0,5.89,0,0,147.23,1.96,0,35.33,1.96,0,0,0,0,0,1.96,0.98,33.37,0,1.96,8.83,99.13,0,0.98,0.98,0,0,1.96,0,0,0,0,0,5.89,0,0,0,1.96
 72-82,0,0,0,6.87,1.96,0,83.44,0,4.91,49.08,2.94,0,0.98,0.98,0.98,0,2.94,0.98,92.28,0,3.93,12.76,136.45,0.98,3.93,0.98,0,0,1.96,0,0,0,0,0,4.91,0.98,10.8,0.98,0.98
 84-94,0,0,0,12.74,4.25,0,77.53,1.06,3.19,30.8,6.37,0,0,0,2.12,0,0,1.06,55.23,0,5.31,18.05,114.7,2.12,1.06,4.25,0,1.06,1.06,0,0,1.06,0,0,1.06,0,10.62,0,0
 96-106,0,0,0,12.02,4.37,0,68.85,1.09,1.09,34.97,1.09,0,3.28,6.56,0,2.19,1.09,0,56.83,1.09,3.28,2.19,91.8,0,7.65,5.46,0,3.28,4.37,0,0,1.09,0,0,1.09,2.19,7.65,2.19,0
108-118,0,0,0,9.19,6.89,0,66.64,1.53,3.83,39.06,2.3,0,0.77,5.36,0,3.06,0.77,0,67.4,0.77,3.06,19.15,157.02,2.3,8.43,4.6,0,0.77,13.02,0,0,0,0,0,4.6,0,13.79,1.53,0
120,0,0,0,27.44,11.76,1.96,66.63,0,3.92,45.08,0,0,0,3.92,1.96,1.96,0,0,50.95,0,1.96,19.6,139.14,0,9.8,0,0,0,1.96,0,0,0,0,0,7.84,0,3.92,1.96,0
