stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,1.64,0,0,8.21,0,0,0,0,0,0.82,0,0,0.82,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,26.59,0,0.81,0,0,0,0.81,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,0.57,0,0,0,0,0,1.15,0,0,0,1.72,0,0,36.72,0,0,0,0,0,0,0,2.3,0,5.74,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,0,0.98,0,0,0,0,0,4.91,0,0,0,4.91,0,0,56.93,0.98,0.98,0,0,0,0.98,0,0.98,0,9.82,0,0.98,0,0.98
 72-82,0,0,0,0,12.76,0.98,0,0.98,0.98,0,0,0,0,9.82,0,0,0,9.82,0,0,71.66,0,0.98,0.98,0,0.98,1.96,0,0,0,12.76,0,0.98,0,0
 84-94,0,0,0,2.12,6.37,2.12,0,0,0,0,0,4.25,0,11.68,0,0,0,1.06,0,1.06,26.55,0,1.06,0,0,0,2.12,0,1.06,0,7.43,0,0,0,0
 96-106,0,0,0,0,7.65,3.28,0,1.09,2.19,0,1.09,1.09,0,10.93,0,1.09,0,7.65,1.09,1.09,25.14,0,3.28,0,0,0,25.14,0,0,0,1.09,1.09,3.28,0,0
108-118,0,0,0,1.53,2.3,0,0,1.53,1.53,0,1.53,8.43,1.53,19.92,0,0.77,0,3.83,0,0.77,29.87,0,0.77,0,0,0,13.79,0.77,0.77,0,0.77,0,4.6,0.77,0
120,0,0,0,3.92,3.92,0,1.96,0,1.96,0,1.96,3.92,1.96,13.72,1.96,0,0,0,0,0,33.32,0,0,1.96,0,0,31.36,0,0,0,3.92,0,1.96,0,0
