stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,15.73,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,33,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,30,2,0,0,1,0,0,0,4,0,1,8,16,0,0,0,0
 24-34,0,0,0,1.64,32.01,1.64,4.1,1.64,0,0,0,0,0,0,0,0,4.93,0,0,1.64,33.66,0,0,0,0,0,0,0,0,0.82,0,3.28,5.75,0,0,0.82,0
 36-46,0,0,0,0,22.56,11.28,4.03,3.22,0.81,0,0,0.81,0,0,0,0,8.06,0,0,6.45,49.15,0,1.61,0.81,0,0,1.61,0.81,0,0,0.81,0,13.7,0,0,0,0
 48-58,0,0,0,0.57,5.74,9.18,6.31,0.57,0,0,0,0,0,0,0,0,3.44,0,0,1.72,24.67,0.57,0.57,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0,20.61,23.56,4.91,4.91,0,0.98,0,0,0.98,0,0,0.98,11.78,0,0.98,0,30.43,0,0.98,0,0,0,0,0,0,0.98,0,0,9.82,0,0,0.98,0
 72-82,0,0,0,0,11.78,12.76,1.96,8.83,0.98,0,0,0,0,0,0.98,0,10.8,0,0,0.98,12.76,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0
 84-94,0,0,1.06,0,48.85,5.31,12.74,3.19,0,1.06,0,0,0,0,0,0,10.62,1.06,0,2.12,12.74,0,1.06,1.06,0,0,1.06,0,0,0,0,0,2.12,0,1.06,2.12,0
 96-106,0,0,0,0,27.32,5.46,8.74,6.56,1.09,0,1.09,3.28,1.09,0,0,0,7.65,0,0,2.19,12.02,0,2.19,1.09,0,1.09,1.09,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,36,6.89,16.09,3.83,2.3,0,0,3.83,0.77,0.77,0,0,7.66,0.77,0,2.3,6.89,0,2.3,0,0,0.77,1.53,0,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,39.2,1.96,13.72,3.92,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
