stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,6,0,0,1,0,0
 24-34,0,0,0.82,0.82,0,0,0.82,0.82,0,0.82,0,0,0.82,3.28,0,0,0,1.64,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,1.15,0,0,0,1.72,0,1.15,3.44,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,0,0,0,10.8,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,1.06,1.06,0,0,0,0,0,6.37,1.06,0,2.12,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,1.09,0,1.09,0,1.09,2.19,0,0,1.09,7.65,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0.77,0,9.19,0,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,3.92,0,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0,0
