stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,0,0,0,0,6,0,6,29,0,0,0,1,0,0,3,2,15,0,1,0
 24-34,0,0,0,0,3.28,0,1.64,0,0,0,0,0,4.1,0,0,23.8,0.82,0,0,0,0.82,0,0,0.82,2.46,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,7.25,0,2.42,15.31,0,0,0,0,1.61,0,0,0,4.83,0,0.81,0
 48-58,0,0,0,0,3.44,0,0,0,0,0.57,0,0.57,4.59,0,1.72,10.33,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,4.91,0,2.94,0,0.98,0.98,0,0,7.85,0,0,27.48,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0.98,22.58,0.98,1.96,0.98,0,0,0,0,14.72,0,0,29.45,0,0,0,0,0,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,9.56,1.06,0,0,0,1.06,1.06,1.06,8.5,1.06,1.06,28.68,0,0,2.12,0,0,0,0,0,1.06,0,1.06,2.12
 96-106,0,0,0,0,6.56,0,5.46,0,0,0,0,0,4.37,0,0,24.04,1.09,1.09,0,0,3.28,0,0,0,2.19,0,0,0
108-118,0,0,0.77,0,6.89,0.77,3.06,0,0,0.77,0,0.77,3.06,0,2.3,17.62,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,3.92,0,0,0,0,0,5.88,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0
