stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,3.15,0,0,9.44,0,18.88,0,0,0,0,0
 14-21,0,0,0,5,1,1,0,0,0,0,3,0,0,0,0,5,0,0,9,21,3,4,2,0,3,0,5,0,2,12,13,0,0
 24-34,0,0,0,2.46,0,2.46,0,0.82,0,0,0,0.82,0.82,0,0,2.46,0,0.82,3.28,14.78,0.82,0,0,0,0,0,0,3.28,0,2.46,4.93,1.64,0
 36-46,0,0.81,0,0,0,1.61,0.81,0,5.64,0,0,0,3.22,0.81,0,2.42,0,2.42,1.61,16.92,0.81,0,0,0,0.81,0,0,0.81,0,0,2.42,0.81,0
 48-58,0,0,0,0,0,3.44,0,0,2.3,2.3,0,0,3.44,0,0,1.15,0,0.57,0,17.79,0,0,0,0,0,0,0,0.57,0,0,4.02,0.57,0
 60-70,0,0,0,1.96,0.98,5.89,0.98,0,2.94,1.96,0,0,9.82,0,0.98,8.83,0,0.98,0,18.65,0,0.98,0,0,0.98,0,0,0.98,0,0,5.89,0,0
 72-82,0,0.98,0,1.96,0.98,2.94,0,0,1.96,1.96,0,0,20.61,0,0,7.85,0,1.96,0,16.69,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,1.06,0,0,0,2.12,0,0,0,2.12,0,0,20.18,0,0,7.43,1.06,0,0,12.74,0,0,0,0,1.06,0,0,0,0,0,2.12,2.12,0
 96-106,0,0,0,0,0,6.56,0,0,1.09,0,1.09,0,39.34,0,0,16.39,0,0,1.09,12.02,0,0,0,1.09,2.19,0,0,2.19,0,0,1.09,1.09,1.09
108-118,0,0,0,0.77,0.77,6.13,0,0,0,0.77,0.77,0,33.7,0,0,8.43,0,0,0,10.72,0,0.77,0,0.77,0.77,0,0,0.77,0,0,0.77,2.3,0
120,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,43.12,0,0,3.92,0,0,0,21.56,1.96,1.96,0,0,0,0,0,3.92,0,0,0,3.92,0
