stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0,0,1.61,5.64,0,0,0,0,0,0,0,0
 48-58,0,0,9.18,0,0,0,0.57,0,0,0,0,0,1.72,0,0,1.15,4.02,0,0,0,0,0,0,0,0
 60-70,0,0,61.84,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,7.85,6.87,0,0,0,0.98,0,0,0,0.98
 72-82,1.96,0,66.75,0,0.98,0.98,4.91,0,0,0,0,0,8.83,0,0.98,23.56,19.63,0,0,0,0,0,0,0.98,0.98
 84-94,1.06,0,54.16,0,0,3.19,3.19,0,0,0,0,0,6.37,0,0,12.74,28.68,0,1.06,0,1.06,0,0,0,0
 96-106,2.19,1.09,95.08,1.09,0,0,1.09,1.09,0,1.09,0,0,9.84,0,0,10.93,74.31,0,0,1.09,0,2.19,1.09,0,0
108-118,1.53,0.77,100.34,0,0,1.53,3.06,0,0,0,0,0,14.55,0.77,2.3,19.15,36,0.77,0.77,0,0.77,0,0,1.53,0.77
120,1.96,0,82.31,0,1.96,1.96,1.96,0,0,0,1.96,0,9.8,0,1.96,15.68,35.28,1.96,0,1.96,0,0,0,0,0
