stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,10,0,8,0,0,0,2,0,0,0,1,0,9,2,38,0,0,0,0,38,0,8,0,1,0
 24-34,0,0,4.93,1.64,0.82,10.67,0,0,1.64,3.28,0,1.64,0,0,0,2.46,0.82,52.53,0,4.1,0,0.82,61.56,0.82,5.75,0,0.82,0
 36-46,0,0,0,1.61,0,17.72,0,0,9.67,1.61,0,0.81,0,0,0,1.61,0,42.7,0,5.64,0,0,20.95,0,4.03,0,0.81,0
 48-58,0,0,0,0,0,18.36,0.57,0,5.74,0,0,0,0.57,0.57,0,2.87,0,25.25,0,4.02,0,0,7.46,0,2.87,0,0,0
 60-70,0,0,0,0,0,24.54,0,0,2.94,5.89,0,0.98,1.96,1.96,0,0.98,0,16.69,0,6.87,0,0,6.87,0,0.98,0,0,0
 72-82,0,0.98,1.96,0,0,23.56,0,0,10.8,15.71,0,0,0.98,0,0,1.96,0.98,17.67,0,3.93,0,1.96,17.67,0.98,0,0,0,0.98
 84-94,0,0,1.06,2.12,1.06,48.85,0,0,7.43,24.43,0,0,1.06,4.25,0,0,0,6.37,0,9.56,0,0,40.36,0,1.06,0,0,0
 96-106,0,2.19,6.56,0,0,20.76,0,0,7.65,43.71,0,0,0,5.46,1.09,3.28,0,6.56,1.09,6.56,0,1.09,37.16,0,0,0,0,0
108-118,0,2.3,3.83,2.3,0,28.34,0.77,1.53,7.66,85.79,0,0,0.77,9.19,0,0,0,5.36,0,9.96,0,0.77,24.51,0,0.77,0.77,0,0
120,0,1.96,3.92,5.88,1.96,11.76,0,0,9.8,76.43,0,0,0,9.8,0,0,1.96,3.92,0,7.84,0,1.96,25.48,0,0,0,0,0
