stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,12.59,3.15,0
 14-21,0,1,7,2,0,1,0,4,0,5,5,2,0,1,1,0,21,8
 24-34,0,0,0,0,0,0.82,0,6.57,0,3.28,2.46,0,0,0.82,0,0,1.64,4.1
 36-46,0,0,0.81,0,0,0,0,1.61,0,0.81,4.83,0,0,0,0,0,0,1.61
 48-58,0,0,0.57,0,0,0,0,1.72,0.57,0.57,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,2.94,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,2.12,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
