stage,blastomeres,epidermis,eye,fin_epithelia,gut,ionocyte,lateral_line,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,2.46,0,0,38.58,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,0,0,70.9,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,1.15,0,0,34.43,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,0,0,39.26,0,0,0
 72-82,0,1.96,0,0,0,0,0,0,0,0,0,0,35.34,0,0.98,0
 84-94,0,5.31,0,0,0,0,0,0,0,0,0,1.06,122.13,1.06,1.06,0
 96-106,0,4.37,0,3.28,0,1.09,1.09,0,0,1.09,0,0,100.54,0,1.09,0
108-118,0,3.06,0.77,0.77,0.77,0.77,0,0.77,0,1.53,0,0.77,69.7,0,0,1.53
120,0,7.84,0,3.92,1.96,1.96,0,0,0,0,0,0,58.79,0,0,0
