stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,81.82,0,0,18.88,0,0,9.44,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,2,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,1.64,4.93,0,0.82,21.34,0,0.82,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,0.81,0.81,0.81,1.61,0,0,0,0.81,0,0.81,5.64,0.81,0,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0.57,2.87,0,0.57,0,0,0,2.87,0,0,2.3,0,0.57,0,0,0,0,0,1.15,0,0
 60-70,0,0,0.98,0.98,0.98,2.94,0,0,0,5.89,0.98,0,3.93,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,0,0,0,0,0,0,2.12,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,2.3,0,0.77,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
