stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,18.4,2.63,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,1,3,5,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,9.85,0,0,0,0.82,0,0,0,0,4.93,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0.81,7.25,0,0,0,1.61,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,6.31,0,0,0,0,0,3.44,0,0,14.92,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0.98,1.96,0,0.98,15.7,0,0,0,1.96,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,3.93,0,3.93,0,0,0,3.93,0,0,13.74,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,1.06,1.06,0,0,0,2.12,0,1.06,0,2.12,0,1.06,3.19,0,1.06,0,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,2.19,1.09,2.19,0,0,0,3.28,1.09,0,4.37,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0
108-118,0,0,2.3,0,1.53,0.77,0.77,0,0,0,2.3,0.77,0,8.43,0,0,0,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,7.84,0,3.92,0,0,0,1.96,0,1.96,23.52,0,0,0,0,0,0,0,0,0,0,0,0
