stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,10.51,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,78.86,0,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,2,0,4,2,0,0,0
 24-34,0,0,0.82,4.93,0,1.64,0,0,0,0,0,0.82,0,0.82,0,0,1.64,0,0,11.49,0,0.82,1.64,0,4.1,0,0,1.64,3.28,0,1.64,0
 36-46,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0.81,1.61,0,4.03,0,0,0,1.61,0,0,0
 48-58,0,0,0,2.3,0,1.15,0,0,0.57,0,0,0,0,0.57,0,0,1.72,0,0,1.72,0,0,0.57,0,2.87,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,2.94,0,0,0,0,3.93,0,0.98,0,0,0,0,0
 72-82,0,0,0,1.96,0,2.94,0,0.98,0,0,0.98,1.96,0,2.94,0,0,0,0,0,3.93,0,0,0,0,4.91,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,7.43,1.06,2.12,0,1.06,0,0,0,0,1.06,0,0,0,0,0,1.06,2.12,0,0,2.12,0,8.5,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,1.09,2.19,0,1.09,0,1.09,3.28,0,3.28,1.09,0,0,1.09,0,2.19,0,0,7.65,0,8.74,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0.77,1.53,0,0,0,0,0.77,0,0.77,0,0,0.77,0,0,2.3,0,0,1.53,0,5.36,0,0,0,0,0.77,0,0
120,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,9.8,0,1.96,0,0,0,0,0
