stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,2,0,1,0,0,0,1,0,0,5,2,0,0,1,0,1,1,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,8.21,0,0,0,0,0,0,2.46,0
 36-46,0,0,0.81,0,0,0,0,2.42,0,12.09,0.81,0,0,0,0,0,6.45,0
 48-58,0.57,0,0,0,0,0,0,2.3,0,5.16,0,0,1.72,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0.98,0.98,1.96,0,0,0,2.94,1.96,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,4.25,0,0,1.06,1.06,5.31,0,3.19,0,0,1.06,0,0,0,0,0
 96-106,1.09,0,3.28,0,0,0,1.09,2.19,0,3.28,0,0,1.09,0,0,0,0,0
108-118,0,0,2.3,0.77,0.77,0,1.53,2.3,1.53,2.3,0,0.77,0,0,0,0,0,0.77
120,0,0,3.92,0,0,1.96,0,3.92,0,0,0,0,0,0,1.96,0,0,0
