stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,52.71,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,30.65,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,5.26,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1,0,0,1
 24-34,0,0,0,14.78,0,2.46,3.28,0,0,0,0,2.46,0,0,0,0,4.93,0,0,0,0.82,0,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,7.46,0,0,2.3,0,0,0.57,0,0.57,0,1.15,0.57,0,5.16,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,13.74,0,0,0,0,0,0,2.94,1.96,0,0,0,0.98,3.93,0,0.98,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,11.68,0,0,2.12,0,0,0,4.25,3.19,0,1.06,0,0,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,12.02,0,0,1.09,0,0,2.19,9.84,1.09,0,0,0,0,4.37,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,6.89,0.77,0.77,5.36,0,0,0.77,6.89,1.53,0,0.77,0,0,3.06,0,0,0,0.77,0,0,0,0,0.77,0.77
120,0,0,0,3.92,0,0,0,1.96,0,1.96,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92
