stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,10,1,0,0,0,0,0,0,29,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,5.75,2.46,0,0,1.64,77.16,0.82,0,0,0.82,0,1.64,0.82,115.74,0,0.82,0
 36-46,0,0,0,0,0,2.42,3.22,0,0,0.81,0,0,0,0,0,2.42,4.83,0,0,0.81,111.18,0,0,0,1.61,0,0,0,105.54,0,0,0
 48-58,0,0,1.15,0.57,0,4.02,4.02,0.57,0,2.3,0,0,0,0,0.57,1.15,6.89,0,0,0.57,82.05,0.57,0,0,0,0,0,0,48.2,0,0,1.15
 60-70,0,0,0,0,0,21.59,0.98,0,0,0,0,0,0,0,0,3.93,10.8,0,0.98,1.96,151.15,0,0,0,0,0,0.98,0,43.19,0,0,0
 72-82,0,0,1.96,2.94,0,42.21,2.94,0,0.98,5.89,0,0.98,0,0,0,3.93,7.85,0,0,0,189.46,0,0,0,0,0,0.98,0,61.84,0,0,0
 84-94,0,0,1.06,0,0,36.11,1.06,0,0,9.56,0,0,0,0,0,10.62,3.19,0,0,1.06,109.39,0,0,0,1.06,0,2.12,0,27.61,1.06,0,0
 96-106,0,0,2.19,3.28,0,29.51,0,0,0,8.74,0,0,0,0,1.09,8.74,10.93,2.19,0,0,100.54,1.09,0,0,3.28,0,0,0,15.3,1.09,1.09,0
108-118,0,0,1.53,0.77,0.77,32.17,1.53,0,0.77,4.6,0,0,0.77,0,1.53,14.55,9.96,0,0,2.3,103.41,0,0,0.77,0.77,0.77,1.53,0,10.72,0.77,0,0
120,0,1.96,3.92,0,0,35.28,7.84,1.96,0,3.92,0,0,0,1.96,0,29.4,1.96,0,0,1.96,133.27,0,1.96,0,0,1.96,1.96,0,5.88,0,0,0
