stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,3307.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,2004.39,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,24.52,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,13.14,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,318.07,10.51,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,88,1,1,0,0,0,0,0,1,1,1,19,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,7.39,0,3.28,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0,167.45,0,18.88,0.82,0,0,0,0,0.82,0.82,0,50.89,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,16.11,0,2.42,0,2.42,0,0,0,0,0,0,0.81,0,0.81,4.03,0,0,1.61,439.09,0,40.28,0.81,0,0,0.81,0,0,0,0,103.93,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,4.02,0,0,91.23,0,1.15,2.3,20.66,0,0,0.57,1.15,0,1.72,0,0,0.57,12.62,0,1.15,2.87,809.06,0,28.69,2.3,0,0,2.3,0,0,0,0,140.01,0,0,0.57,0,1.15
 60-70,0,0,0,0.98,2.94,0,0,216.92,1.96,0.98,6.87,56.93,0,0,0,0,0,0,0.98,0.98,0,31.41,0,0,1.96,1769.68,0,32.39,1.96,0,0,7.85,0,0,0,0,159.99,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,15.71,9.82,0,341.62,0,2.94,12.76,121.73,2.94,0,3.93,0,0,0,1.96,1.96,0,66.75,0,2.94,2.94,1913.26,0,54.97,10.8,0,1.96,3.93,0,0,0,0,160.01,2.94,0,5.89,0.98,2.94
 84-94,0,0,2.12,1.06,22.3,2.12,0,345.16,1.06,2.12,4.25,105.14,2.12,0,3.19,1.06,1.06,3.19,1.06,1.06,0,26.55,0,0,2.12,1040.8,0,46.73,5.31,0,0,7.43,0,0,0,0,72.22,1.06,1.06,3.19,0,2.12
 96-106,0,0,1.09,3.28,26.23,2.19,0,285.23,1.09,2.19,5.46,121.31,1.09,0,0,6.56,0,1.09,2.19,4.37,2.19,32.79,0,3.28,6.56,995.58,0,77.59,7.65,0,0,9.84,0,2.19,1.09,0,43.71,0,1.09,6.56,5.46,2.19
108-118,0,0,0.77,6.13,18.38,3.06,0,272.68,0.77,1.53,6.89,111.83,2.3,0,3.06,0,0.77,2.3,3.06,3.83,0,42.89,0,0.77,3.83,1266.14,0,42.89,9.19,0,0,2.3,0,0.77,0,0,34.47,1.53,0.77,6.13,1.53,0.77
120,0,0,5.88,0,13.72,1.96,1.96,199.9,0,0,7.84,117.59,7.84,0,0,1.96,0,1.96,0,5.88,0,31.36,1.96,3.92,7.84,1234.66,0,29.4,3.92,0,0,1.96,1.96,0,0,0,58.79,0,1.96,5.88,3.92,0
