stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,78.86,0,0,28.92,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,0,0,0,0,0,0,53.5,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,6,0,0,0
 24-34,0,0,1.64,0.82,2.46,0,0,0,0,1.64,0,0.82,95.22,0,0,0,0,0,15.6,0,0,0
 36-46,0,0.81,1.61,0,12.09,0,0,0,0,4.03,0,0,89.43,0.81,0,0,0,0.81,26.59,0,0.81,0
 48-58,0,1.15,4.59,0,14.35,0,0,0,0,4.59,0,0.57,27.54,0,0,0,0,1.15,16.64,0.57,0.57,0
 60-70,0,0,2.94,0,20.61,0,0,0,0,13.74,0,0.98,11.78,0,0,0,0.98,0,7.85,0,1.96,0
 72-82,0,0,3.93,0,39.27,0,0.98,0,0,29.45,0,1.96,18.65,0,0,0,0,0,3.93,0,3.93,0.98
 84-94,0,1.06,8.5,0,14.87,0,1.06,0,0,11.68,1.06,2.12,3.19,0,0,0,0,0,3.19,1.06,3.19,0
 96-106,0,0,9.84,0,20.76,0,2.19,1.09,2.19,21.86,0,2.19,9.84,0,0,0,0,0,3.28,1.09,8.74,1.09
108-118,0,1.53,3.06,0.77,16.09,0.77,2.3,0,0,26.04,0,0,11.49,0,0.77,0,0,0,0,2.3,7.66,0
120,0,0,1.96,0,15.68,0,0,0,0,15.68,0,1.96,11.76,0,0,0,0,1.96,0,3.92,11.76,0
