stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,0,0.82,0,0.82,0,0,0,0,0,1.64,0,0,0,30.37,0,0,0,0,0,6.57,0,1.64,0,6.57,0,0,0,0,0.82
 36-46,0,0,0,3.22,2.42,0,0,0,0.81,0,0,0.81,0,0,0,0.81,3.22,0,0,0,81.37,0.81,1.61,1.61,0,0,2.42,0,0,0,16.92,0,0,0,0,0
 48-58,0,0,0,2.3,6.31,0,0,0,0.57,0,0,0.57,0,0,0,0,6.89,0.57,0.57,0.57,85.5,0,0,1.15,0,0,1.15,0,0,0,13.2,0,0.57,0,0,0.57
 60-70,0,0,0,4.91,29.45,0,0,0,3.93,0,0.98,0,0,0.98,0,0,5.89,0,0,0,147.23,0,0,0,0,0,2.94,0,0,0,11.78,0,0,0.98,0,0
 72-82,0,0,0.98,1.96,78.53,0.98,0.98,1.96,3.93,0,0,0,0.98,0,0,0,8.83,0,0.98,1.96,126.63,0,1.96,0.98,0,0,6.87,0,0,0,6.87,0,0,0.98,0,0
 84-94,0,0,1.06,3.19,48.85,0,0,0,7.43,0,0,0,0,0,1.06,0,4.25,0,0,0,50.98,0,0,1.06,0,0,11.68,0,0,0,5.31,1.06,0,0,1.06,0
 96-106,0,0,0,4.37,38.25,0,0,1.09,4.37,1.09,0,0,0,0,2.19,0,10.93,0,0,2.19,53.55,0,1.09,3.28,0,0,12.02,1.09,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,3.06,19.92,0,0,0,3.06,0,0,0,0.77,0,0.77,0,4.6,0,0,0.77,50.55,0,0,3.83,0,0.77,1.53,0,0,0,0.77,0,0,0,0,1.53
120,0,0,0,3.92,13.72,0,0,1.96,3.92,1.96,0,0,0,0,1.96,0,9.8,1.96,0,0,50.95,0,0,0,0,0,9.8,0,1.96,0,0,1.96,0,0,1.96,0
