stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,0,0,0,0,0,1,2,1,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,0.82,0,0.82,0,0.82,14.78,0,0.82,0,0,0.82,0.82,0.82,2.46,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,1.61,0,0,0.81,0.81,2.42,0,0,16.11,0,0,0,0.81,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,3.44,0,1.15,0.57,0,0,1.72,0,5.74,0.57,1.15,17.79,0,0,0,0,0,0,0,4.02,0,0,0.57
 60-70,0,0,0,0.98,0,3.93,0.98,0,0.98,0,0,3.93,0,6.87,0,0,10.8,0,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0.98,0,0,2.94,0,0,2.94,0.98,0,1.96,0,4.91,0,0,18.65,0,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,2.12,0,2.12,1.06,1.06,1.06,0,0,9.56,0,5.31,0,2.12,7.43,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,3.28,0,0,2.19,0,0,3.28,0,1.09,0,0,5.46,0,0,0,0,1.09,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0,3.83,0,0,1.53,0,3.06,3.83,0,2.3,1.53,1.53,13.79,0,2.3,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,3.92,1.96,0,1.96,0,1.96,9.8,0,1.96,1.96,0,9.8,1.96,1.96,0,0,0,0,0,3.92,0,0,0
