stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,neural,notochord,olfactory,otic,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.83,1.61,4.03,0,0,2.42,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,7.46,0,1.72,0,0,2.87,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,7.85,0,2.94,0.98,0,1.96,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0.98,0.98,11.78,0,14.72,20.61,0,3.93,0,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,4.25,0,7.43,27.61,1.06,2.12,0,0,0
 96-106,0,0,3.28,0,2.19,1.09,0,0,2.19,1.09,0,2.19,4.37,1.09,14.21,30.6,0,3.28,0,0,0
108-118,0,0,0.77,0,0.77,0.77,0,0,0,0,0.77,0,6.13,1.53,6.13,39.06,0,0.77,0.77,0,0
120,0,0,1.96,1.96,0,0,0,0,0,0,0,0,5.88,1.96,7.84,23.52,0,0,0,0,0
