stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
  5-6,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,10.67,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,34.64,2.42,0,0,4.03,0
 48-58,0,0,0,0,4.02,0.57,0,0,0,0.57,42.46,0.57,0,0,7.46,0
 60-70,0,0,0,0,10.8,2.94,0,0,0,0,72.63,0.98,0,0,8.83,0
 72-82,0,0,0,0,12.76,0,0,0,0,4.91,93.26,0,0,0.98,8.83,0
 84-94,0,0,0,0,8.5,4.25,0,0,0,3.19,46.73,2.12,0,0,7.43,0
 96-106,1.09,0,2.19,1.09,15.3,2.19,0,0,1.09,0,50.27,0,0,0,0,1.09
108-118,0,0,0,0,13.79,3.06,0,0,0,0,49.02,1.53,0,0,2.3,0.77
120,0,0,3.92,0,3.92,1.96,0,0,0,0,88.19,1.96,0,0,3.92,0
