stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,neural,notochord,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,2.63,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,8.21,0,0,0,0,2.46,0.82,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,0,8.06,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,5.16,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,8.83,0,0,0.98,0,0,2.94,0,3.93,6.87,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,1.96,1.96,0,0,0,0,0.98,0,2.94,6.87,0,0,0,0,0,0.98,0
 84-94,0,1.06,2.12,0,7.43,0,0,0,0,0,0,0,3.19,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,6.56,0,4.37,1.09,0,0,0,0,2.19,1.09,1.09,6.56,0,0,0,1.09,0,1.09,0
108-118,0,1.53,1.53,0.77,3.06,0.77,0,0,0.77,0,5.36,0,0.77,2.3,0,0,0,0,0,0,0.77
120,0,1.96,1.96,0,3.92,0,0,0,0,0,1.96,3.92,0,5.88,0,0,1.96,0,0,0,0
