stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,18.88,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,5,0,0,0,0,198,0,2,0,0,4,0,0
 24-34,0,0,0,7.39,2.46,0,1.64,0.82,0,0,0.82,0,0.82,0,0,0,0,0,5.75,2.46,0,1.64,23.8,0,1.64,0,0,570.49,0,8.21,0,0,16.42,0,0.82
 36-46,0,0,0,7.25,0,0,0.81,4.83,0.81,1.61,0,0.81,0,1.61,0,0,0,0,8.86,4.83,0,4.83,19.34,0,0.81,0,0,666.29,0,3.22,0,0,6.45,0,0.81
 48-58,0,0,0,5.74,0,0,18.36,21.23,0.57,1.72,0.57,0,0,0.57,0,1.15,0,0,16.64,4.59,0,4.59,35,0,1.72,0,0,919.24,0,8.03,0,0,8.61,0,0.57
 60-70,0,0,0,12.76,0,0,17.67,21.59,0,0.98,0,0,0.98,0,0,0,0,0,11.78,2.94,1.96,1.96,21.59,0,3.93,0,0,928.52,0,4.91,0.98,0.98,4.91,0.98,0.98
 72-82,0,0,0,18.65,0,0,16.69,23.56,3.93,2.94,0,0,3.93,8.83,0,0,0,0,20.61,4.91,0.98,2.94,21.6,0,10.8,0.98,0,905.09,0,3.93,0.98,1.96,11.78,1.96,0
 84-94,0,1.06,1.06,32.92,1.06,0,6.37,77.53,0,0,3.19,0,0,19.12,0,0,0,1.06,8.5,9.56,2.12,2.12,19.12,0,38.23,0,0,2403.39,0,1.06,2.12,2.12,10.62,5.31,0
 96-106,0,0,0,67.76,2.19,1.09,19.67,65.57,0,4.37,2.19,0,6.56,25.14,1.09,1.09,2.19,0,14.21,15.3,6.56,2.19,27.32,1.09,62.29,0,0,2032.69,1.09,0,4.37,0,10.93,4.37,0
108-118,0,0,0,49.02,1.53,0.77,3.83,85.79,0,3.83,3.83,0.77,6.13,26.04,0,0.77,0,0,15.32,19.92,2.3,2.3,17.62,0,38.3,0,0,1580.95,0.77,1.53,4.6,0,5.36,4.6,1.53
120,0,0,0,37.24,1.96,0,5.88,31.36,0,0,3.92,0,1.96,17.64,0,0,1.96,0,7.84,15.68,5.88,1.96,13.72,0,7.84,1.96,0,774.12,0,0,0,1.96,9.8,1.96,0
