stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865.42,0,0,0,53.5,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,14,0,0,7,0,1,0,3,0,0,0,0,0,0,0,0,0,15,0,0,5,1035,0,0,4,0,0,0,0,1,0,0,3,64,0,0,9,0,0
 24-34,0,0,18.88,2.46,0,45.97,0,0,1.64,27.09,0,0.82,10.67,0,0,0.82,0,0.82,0,97.68,0,0,13.95,1860.06,4.93,0.82,21.34,0,0,5.75,0,0,0,0.82,1.64,118.2,0,0,91.94,0,0
 36-46,0,0,16.92,0.81,0,38.67,0,0,4.83,174.83,0.81,0,13.7,0,0,1.61,0.81,0.81,0,153.08,0,0,16.11,1409.12,3.22,0.81,12.89,0,0.81,11.28,0,0,1.61,0,0,115.21,0,0.81,57.2,0,0.81
 48-58,0,0,12.05,1.15,0,61.4,0,0.57,22.95,381.58,0,0.57,18.94,0.57,0.57,1.15,0.57,0.57,0.57,424.62,0,0.57,12.62,704.63,8.61,1.72,14.92,0,0.57,14.92,0,0,0,0,0,73.45,0,0,52.79,0,1.15
 60-70,0,0,6.87,0.98,0,44.17,0,1.96,18.65,374.94,1.96,0,11.78,0,0,1.96,0.98,0,0,749.88,0,3.93,18.65,303.29,5.89,0,13.74,0,0,5.89,0,0,0,0,0,40.24,0,2.94,40.24,0,0.98
 72-82,0,0,10.8,0.98,0.98,112.89,0,0.98,64.79,389.72,5.89,0,13.74,0,0,0.98,0.98,0,0,1108.3,0.98,4.91,21.6,258.18,6.87,0.98,34.36,0,0,4.91,0,0,0.98,0,0,33.38,0.98,3.93,81.48,3.93,0.98
 84-94,0,1.06,13.81,0,0,138.06,1.06,2.12,49.92,255.95,1.06,0,9.56,2.12,1.06,4.25,0,1.06,1.06,839.01,0,4.25,8.5,186.92,7.43,1.06,38.23,0,1.06,8.5,0,0,1.06,0,0,20.18,0,7.43,79.65,3.19,1.06
 96-106,0,0,53.55,5.46,1.09,119.12,1.09,4.37,52.46,206.55,5.46,0,27.32,5.46,4.37,2.19,1.09,5.46,0,840.4,1.09,9.84,24.04,209.83,15.3,18.58,48.09,0,3.28,5.46,0,0,2.19,2.19,0,10.93,0,7.65,79.78,3.28,0
108-118,0,1.53,16.09,0,0.77,55.15,0.77,3.83,40.6,215.24,0,0,9.19,1.53,3.06,0,0,1.53,0.77,659.49,0,2.3,10.72,190.72,22.21,1.53,34.47,0,0,3.83,0,0,0.77,0,0,3.83,0.77,2.3,61.28,0.77,0.77
120,0,0,35.28,1.96,1.96,52.91,0,0,37.24,262.61,0,0,15.68,1.96,3.92,1.96,0,3.92,0,566.38,1.96,5.88,11.76,203.82,31.36,5.88,43.12,0,0,1.96,0,0,0,0,0,11.76,0,9.8,76.43,0,0
