stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,visceral_smooth_muscle
  3-4,26.36,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.23,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,588.44,0,0,0,0,0
  7-9,0,10.51,0,7.89,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,52.57,0,0,18.4,97.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,3.15,44.06,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,318,0,0,2,0,0
 24-34,0,0,0,0,11.49,0,0,1.64,0.82,0,1.64,0,0,0.82,0,0,0,1.64,1.64,0.82,16.42,4.1,0.82,0,233.12,0,0,3.28,0,0
 36-46,0,0,0,0,14.5,0,0,1.61,0,0.81,0.81,0,0,0.81,0,0,0,0.81,4.03,1.61,21.75,1.61,0.81,0,302.93,0,0,4.83,0,0
 48-58,0,0,0,0,14.92,0,0,1.72,0.57,0,0.57,0.57,0,0,0,0,0,1.72,1.15,0,12.05,1.15,1.72,0,148.62,0,0,3.44,0,0
 60-70,0,0,0,0,20.61,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0,0,1.96,0,3.93,0.98,0.98,0,51.04,0,0,0,1.96,0
 72-82,0,0,0,0,25.52,0,0,19.63,0,2.94,0,0,0,0,0,0,0,0.98,0,0.98,2.94,2.94,4.91,0,33.38,0,0,0,10.8,0
 84-94,0,0,1.06,0,28.68,2.12,0,12.74,0,1.06,3.19,0,0,3.19,0,0,0,0,2.12,0,4.25,7.43,6.37,0,100.89,0,1.06,0,3.19,0
 96-106,0,0,3.28,0,25.14,0,0,3.28,4.37,4.37,5.46,0,1.09,2.19,0,3.28,1.09,3.28,0,0,2.19,4.37,18.58,0,44.81,1.09,0,0,3.28,1.09
108-118,0,0,2.3,0,16.85,0,0.77,7.66,0.77,0.77,6.89,0,0,4.6,0,0.77,0,3.83,0.77,0,0.77,2.3,9.19,0,50.55,0,0,0,4.6,0
120,0,0,1.96,0,1.96,0,1.96,5.88,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,7.84,0,21.56,0,0,0,1.96,0
