stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,9.44,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,7,25,16,0,0,0,0,0,0,2,0,1,78,37,0,1,0,0
 24-34,0,0.82,0.82,1.64,0.82,0,0.82,0.82,0,0,0,0,0,4.93,0,5.75,14.78,111.64,0.82,0.82,0,0,1.64,0,0,0,0,6.57,68.13,0,5.75,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0.81,0,0.81,8.86,0.81,14.5,14.5,147.44,0,0,0,0,0.81,0.81,0,0,0,0,33.03,0,5.64,0,0
 48-58,0,0,0,0,2.3,0,0,0,1.15,0,0,1.15,0,25.25,1.15,30.99,8.03,64.84,0,0,0,0,0.57,0,0,0,0,0,33.85,0,2.3,0,0
 60-70,0,0,0,0,5.89,0,0.98,1.96,3.93,0,0,1.96,0.98,44.17,1.96,46.13,0.98,27.48,0,0,0,0,0,0,0,0,0,0,20.61,0,1.96,0,0
 72-82,0,0,0,3.93,11.78,0.98,2.94,6.87,0.98,0,0,0.98,0,61.84,9.82,50.06,11.78,38.28,0,0,0,0.98,0,0,0,0,0,0,36.32,2.94,1.96,7.85,0
 84-94,0,2.12,1.06,0,8.5,0,1.06,4.25,7.43,0,0,0,0,47.79,8.5,33.99,1.06,30.8,1.06,1.06,0,1.06,0,0,0,1.06,0,0,35.05,1.06,1.06,6.37,0
 96-106,0,1.09,1.09,6.56,4.37,1.09,0,4.37,7.65,0,0,3.28,0,55.74,5.46,36.06,6.56,20.76,0,1.09,0,3.28,1.09,0,0,0,0,0,49.18,0,1.09,4.37,0
108-118,0,0.77,0.77,3.06,0.77,0,1.53,3.83,5.36,0,0,1.53,0,40.6,9.19,31.4,8.43,12.26,0,0.77,0,2.3,1.53,0,0,0,0,0,22.98,0,1.53,3.06,0.77
120,0,1.96,0,1.96,1.96,0,0,1.96,1.96,0,0,1.96,0,15.68,5.88,19.6,15.68,5.88,0,1.96,0,3.92,3.92,0,0,0,0,0,15.68,0,0,0,0
