stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,52,3,0,0,0,0,0,0,13,1,2,26,7,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,1.64,0,0,0.82,0,0,0,0,0,0,8.21,0,0.82,173.2,0,10.67,9.85,0,0,0,0,0,0,0,2.46,67.31,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,4.83,0,0,0,0,0.81,0,19.34,0,0.81,244.92,0.81,12.89,3.22,0,0,0.81,0,0,0,0,0,106.35,0,0,1.61,0,1.61
 48-58,0,1.15,0,0,0,6.89,0.57,0,9.75,0.57,0,0,0,0,0,16.07,0,1.15,216.32,1.15,8.03,3.44,0,0,0.57,0,0,0,0.57,0,83.78,0,0,0,0,0
 60-70,0,0,0,2.94,0,59.87,0,0,17.67,0.98,0,0,0,0,0,40.24,0,0,217.9,0,6.87,5.89,0,0,0,0,0,0,0,0,57.91,0,0,0,0,0.98
 72-82,0,0.98,0,7.85,0,109.95,0,0,21.6,1.96,0,0.98,0,0,0,82.46,0.98,1.96,246.4,0,22.58,8.83,0,0.98,0,0,0,0,0,0,28.47,0,0.98,0.98,0.98,0
 84-94,0,0,0,9.56,0,77.53,1.06,0,8.5,1.06,1.06,0,1.06,2.12,0,56.29,2.12,2.12,135.94,0,10.62,12.74,0,0,1.06,0,0,0,1.06,0,16.99,0,0,3.19,0,0
 96-106,0,1.09,0,5.46,0,59.01,1.09,2.19,14.21,2.19,1.09,0,0,2.19,0,69.94,3.28,5.46,157.37,0,19.67,17.49,0,0,2.19,3.28,0,0,0,0,18.58,3.28,1.09,8.74,0,1.09
108-118,0,0,0,2.3,0,62.81,0.77,1.53,13.79,0,3.06,1.53,0,0.77,0.77,71.23,0.77,2.3,171.58,0.77,14.55,22.98,0,0,1.53,0,0,0,0,0,5.36,3.83,0,6.13,0,0.77
120,0,0,0,11.76,1.96,35.28,0,0,23.52,0,5.88,1.96,0,0,0,43.12,3.92,0,231.25,0,11.76,19.6,0,0,0,0,0,1.96,0,0,5.88,1.96,0,5.88,0,0
