stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,97.26,0,34.17,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,4,16,1,0,1,4,2,4,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0.82,0,1.64,0,0,18.06,0,0,0.82,0,0,1.64,0,0,0.82
 36-46,0,0,0,0,0,2.42,0.81,0,0,2.42,0,0,0,0,0,0.81,0,0,8.06,0,0,0,0,0,4.03,0,0,1.61
 48-58,0,0,0,0,0,6.31,0.57,0,0,2.3,0,0,0,0,0.57,4.02,0,0.57,20.66,0,0,0.57,0,0,7.46,0,0,0.57
 60-70,0,0,0,0,0.98,6.87,0,0,0,0,0,0,0,0,0,4.91,0.98,0.98,3.93,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,23.56,0,0,0,8.83,0.98,0.98,0,0,0,15.71,0,0.98,37.3,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,2.12,5.31,0,1.06,0,1.06,0,1.06,0,0,0,3.19,2.12,0,10.62,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,0,1.09,2.19,0,0,0,0,0,0,6.56,0,2.19,12.02,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0.77,0,0,3.06,0,0,0,1.53,0,0.77,0.77,0,0,1.53,0,0.77,5.36,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0
