stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,12.59,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,2,1,4,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,6.57,0.82,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,8.06,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,2.3,0.57,1.15,0,1.72,0.57,4.02,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,2.94,0.98,0.98,0,0.98,0,5.89,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,1.96,0,3.93,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,0,1.06,0,1.06,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,2.19,0,0,0,3.28,0,2.19,1.09,4.37,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,2.3,1.53,1.53,0,0.77,0,3.83,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0
