stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,18.39,306.48,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,24.52,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,139.32,2.63,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,28.32,0,0,0,3.15,6.29,3.15,0,0,0
 14-21,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,2,20,0,0,0,0,2,2,0,7,6,0,0,0
 24-34,0,0,0,0,4.93,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0,8.21,0.82,1.64,55,0.82,0.82,0,0,0.82,0,0,4.93,11.49,0,0.82,0
 36-46,0,0,0,0,0,0,3.22,0,0.81,0.81,0,0,0,0,0.81,0,0,0,4.03,0.81,0,19.34,1.61,0,0,0,0,0,0,0,13.7,0,1.61,0
 48-58,0,0,0,0,1.15,0,7.46,0,0.57,1.72,0.57,0,0.57,0,0,0,0,0,8.61,0,1.72,26.4,0.57,0,0,0,0,0,0,0,5.16,0,0,0
 60-70,0,0,0,0,0.98,0,4.91,0.98,0,0,0,0,0,0,0.98,0,0,0,10.8,1.96,0.98,11.78,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,19.63,0,5.89,8.83,0.98,0,0,0.98,0,0.98,0,0.98,16.69,0,1.96,36.32,0,0.98,0,0,0,0,0,0,5.89,2.94,0,1.96
 84-94,0,0,0,0,0,0,5.31,2.12,1.06,1.06,0,0,0,1.06,0,0,0,0,4.25,1.06,1.06,10.62,0,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,0,0,5.46,0,3.28,2.19,0,0,0,0,0,0,1.09,0,6.56,0,0,12.02,0,1.09,0,0,2.19,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,0,0,0.77,3.06,0,0,0,1.53,0,0,0,0,0,0,0,4.6,0,0,12.26,0,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,3.92,0,1.96,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0
