stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,71,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0
 24-34,107.53,0,2.46,0,81.26,0,0,0,0,0,2.46,0.82,0,13.13,0.82,0.82,0,0,13.13,2.46,0,0,0
 36-46,12.89,0,0.81,0.81,89.43,0,0.81,0,0,0,1.61,0,0,6.45,0.81,0,0,0,31.42,0,0,0,0
 48-58,4.59,0,7.46,0,129.11,1.15,1.15,0,0,0,2.3,1.15,2.3,15.49,0,0,0,0,68.86,1.72,0,0,0
 60-70,0,0,0.98,0,103.06,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,76.56,0,0,0,0
 72-82,0,0.98,5.89,0,125.65,0.98,0,0,0,0,2.94,0.98,0,4.91,0.98,0.98,0,0,139.4,1.96,0,0.98,0.98
 84-94,7.43,1.06,1.06,0,210.28,0,0,1.06,0,0,0,0,0,4.25,0,0,0,0,267.63,0,1.06,0,0
 96-106,1.09,0,5.46,0,205.46,2.19,0,0,1.09,0,0,0,0,0,0,0,0,1.09,204.36,0,0,0,0
108-118,3.06,0,0,0,209.87,1.53,0,0,0,0.77,0.77,0,0,3.06,0,0,0,0,99.58,0,0,0,0
120,7.84,0,1.96,0,225.38,0,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,117.59,0,0,0,0
