stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,1,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0.82,6.57,0,1.64,2.46,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0.81,1.61,0,0,1.61,0,1.61,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,4.02,0,0,0,0,1.15,1.72,2.3,0.57,0,1.72,0,0,5.16,0,1.15,0,0,0
 60-70,0,0,0,0,0,2.94,0,1.96,7.85,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0,5.89,0,0,1.96,0,0
 72-82,0,4.91,0,0.98,0,6.87,0,1.96,33.38,0,0.98,0.98,0,2.94,1.96,3.93,0,0,6.87,0,0.98,30.43,0,0,2.94,0,0
 84-94,0,3.19,0,1.06,0,4.25,0,3.19,76.47,0,0,1.06,0,0,0,1.06,0,0,8.5,0,2.12,57.35,0,0,0,0,0
 96-106,0,9.84,0,0,0,8.74,0,2.19,168.3,0,0,0,1.09,2.19,0,8.74,0,0,10.93,1.09,1.09,77.59,0,0,0,1.09,1.09
108-118,0,7.66,0,0.77,0,4.6,0.77,3.83,228.26,0,0,0,0,0.77,0.77,2.3,0,0,16.09,0,0,80.43,0,0.77,0.77,0,0.77
120,0,9.8,0,0,0,7.84,0,3.92,152.86,0,0,0,0,1.96,1.96,1.96,0,0,29.4,0,0,43.12,0,0,1.96,0,0
