stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,7.89,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,18.88,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,3,1,1,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,49,2,0,0,3,0,0,0,6,0,1,3,13,0,0,3,0,0
 24-34,0,0,0,4.93,0.82,11.49,0.82,0,0.82,0,0,0.82,0.82,0.82,0,1.64,0,1.64,20.52,0,0,4.93,142.83,0,0.82,0,0,0,2.46,0,0,1.64,0,0,22.16,0,0,4.93,0,0.82
 36-46,0,0,0,0,0,18.53,0,0.81,5.64,0,0.81,0.81,0,0,0,0,0,0,12.89,0,0,2.42,103.93,0,0.81,0,0,0,4.03,0,0,0,0,0,20.14,0,0,4.83,0,0
 48-58,0,0,0,1.15,0.57,30.41,1.15,1.72,9.18,0,0,0.57,0,0,0.57,1.15,0,0.57,18.94,0,0.57,4.02,82.05,1.15,2.3,0,0,0,0.57,0,0,0,0,0,21.23,0,0.57,4.02,0,1.15
 60-70,0,0,0,0.98,0.98,53.98,0,0.98,22.58,0,0,0,2.94,0,0,0,0,0,25.52,0.98,0.98,1.96,115.82,0,0,0,0,0,0.98,0,0,0,0,0,18.65,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,4.91,3.93,48.1,1.96,2.94,29.45,1.96,0,0,2.94,0,0,1.96,0,0,57.92,2.94,0,2.94,122.71,0.98,1.96,0.98,0,1.96,0.98,0,0,1.96,0,0,9.82,0,2.94,4.91,1.96,0.98
 84-94,0,0,2.12,2.12,5.31,20.18,2.12,0,14.87,2.12,0,1.06,5.31,0,0,0,0,2.12,28.68,0,2.12,3.19,43.54,0,2.12,3.19,0,0,7.43,0,0,2.12,0,0,10.62,0,1.06,3.19,0,0
 96-106,0,0,0,7.65,3.28,9.84,2.19,1.09,26.23,4.37,0,1.09,9.84,1.09,1.09,1.09,0,1.09,26.23,1.09,1.09,3.28,49.18,1.09,3.28,4.37,0,2.19,13.11,0,0,1.09,0,0,5.46,2.19,2.19,5.46,5.46,1.09
108-118,0,0,2.3,5.36,3.83,9.96,1.53,3.83,16.09,0.77,0,0,3.83,0.77,1.53,2.3,1.53,0.77,27.57,0,0,5.36,61.28,0,3.06,3.06,0,0,9.19,0,0,2.3,0,0,3.83,0.77,0.77,3.83,0.77,0
120,0,0,0,11.76,1.96,15.68,0,1.96,11.76,1.96,0,0,17.64,1.96,1.96,1.96,3.92,0,23.52,0,1.96,5.88,52.91,0,0,1.96,0,1.96,5.88,0,0,0,0,0,1.96,0,0,13.72,1.96,0
