stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0,0,0.82,0.82,22.98,0,0,0,0,30.37,0
 36-46,0,0,0.81,0,2.42,0,0,0,0,0,0,1.61,1.61,41.89,0,0,0,0,49.15,0
 48-58,0,0,0,0,2.3,0.57,0,0,0,0,0,2.3,0.57,34.43,0,0,0.57,0,56.81,0
 60-70,0,0,0,0,9.82,0,0,0,0,0,0,0,0,78.52,0,0,0,0,59.87,0
 72-82,0,0,0,0,46.14,0,0.98,0.98,0,0,0,3.93,0,69.7,0,0,0,0,24.54,0
 84-94,0,0,3.19,1.06,38.23,0,3.19,0,0,1.06,0,1.06,0,44.61,0,0,0,0,15.93,0
 96-106,0,0,1.09,1.09,38.25,0,5.46,0,0,1.09,1.09,2.19,0,42.62,0,0,0,1.09,5.46,0
108-118,0,0,0.77,0,34.47,0,9.96,0,1.53,0.77,0,0.77,0,49.79,0,0,0,3.83,2.3,0.77
120,0,0,3.92,0,39.2,0,5.88,0,0,3.92,0,1.96,0,76.43,1.96,0,0,0,13.72,0
