stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0
 24-34,0,0,3.28,1.64,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0,4.1,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,2.42,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,21.75,0,0.81,4.83,3.22,1.61,0,0,0,0,0,0,0.81,0,4.83,0,0,0.81,0
 48-58,0,0,1.15,0,0,0,0,0,1.15,0,0,0,0,0,0.57,0,0.57,14.92,0,0.57,2.3,5.16,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0.98,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0.98,0,0.98
 72-82,0,0,0,0,0,2.94,0,0.98,0,0.98,0,0.98,0,0,0,0,0,12.76,0,0,0.98,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0.98,1.96
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,2.12,2.12,0,1.06,0,5.31,0,2.12,0,5.31,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,5.46,0,1.09,2.19,0,1.09,0,1.09,0,0,1.09,0,0,1.09,0,6.56,0,0,0,1.09,1.09,1.09,1.09,0,1.09,5.46,0,0,0,0,0,1.09,2.19,2.19
108-118,0,0,6.13,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0,0,1.53,2.3,0,0,0,1.53,0,0.77,2.3,0,1.53,0,0,0,0,0,0,0.77,0.77,0
120,0,0,3.92,0,0,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,0,5.88,3.92,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
