stage,axial,blastomeres,endoderm,eye,fast.muscle,glial,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2,0,0,0,0
 24-34,0,0,0,11.49,0,0,0,0,0,1.64,0,0.82,2.46,0,4.1,0.82,0,0,0,4.93,0,0
 36-46,0,0,0,15.31,0,0.81,1.61,0,0,0,0,0,1.61,0.81,4.83,0,0.81,0,0,0.81,0,0.81
 48-58,0,0,0.57,22.38,0,0.57,0,0,0,0,0,0.57,0.57,0,0.57,0,0,0,1.15,0,0,1.72
 60-70,0,0,0,24.54,0.98,0,0.98,0,0,1.96,0,0.98,0,0,1.96,0,0,0,0,0,0,0.98
 72-82,0,0,0,25.52,0,0.98,0,0,0,1.96,0.98,0.98,0.98,0,0.98,0,0,0,0.98,1.96,0,0
 84-94,0,0,0,26.55,1.06,1.06,0,0,0,1.06,0,0,0,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,24.04,0,0,0,1.09,0,1.09,0,0,2.19,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,26.04,0,0,1.53,0,0,3.06,0,0,1.53,0,3.06,0,0,0,0,0,0,1.53
120,0,0,0,33.32,0,0,0,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0
