stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,31.47,0,0,0,0,0,0,0,0,50.35,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,4,4,0,4,0,1,26,0,0,0,0,0,0,0,3,76,0,0,1,0,1,5,19,0,0
 24-34,0,1.64,4.93,2.46,0,14.78,0,0.82,4.1,0,0,0,0,0.82,3.28,0.82,0,68.13,0,1.64,0,0.82,0,0,12.31,0,0.82
 36-46,0,2.42,0,1.61,0,8.86,0.81,0,0.81,0,0,0,0,0.81,1.61,0.81,0,34.64,3.22,0,0,0,1.61,0,3.22,0,0
 48-58,0,0,0.57,0,0,1.72,1.15,0,0.57,0,0,0,0,1.15,1.72,4.59,0,13.2,0.57,0,0,0,0,0,2.87,0,2.3
 60-70,0,0.98,0,0,0,4.91,0.98,0.98,0,0,0,0.98,0,0,0,2.94,0.98,36.32,0.98,0.98,0,0,0,0,5.89,0,0
 72-82,0,5.89,0,0,1.96,6.87,3.93,2.94,0,0,0.98,0,0.98,0,3.93,9.82,0.98,25.52,2.94,0.98,0,0,0,0,4.91,0,0.98
 84-94,0,3.19,0,1.06,3.19,7.43,2.12,7.43,0,0,1.06,0,0,0,0,3.19,0,16.99,0,0,0,0,0,0,2.12,0,1.06
 96-106,0,3.28,0,2.19,0,3.28,1.09,3.28,0,0,0,1.09,1.09,0,2.19,10.93,0,14.21,1.09,1.09,0,1.09,0,0,1.09,1.09,4.37
108-118,0,3.06,0,1.53,19.92,1.53,5.36,8.43,0,0.77,0.77,0,0,1.53,3.83,3.83,0,10.72,0,1.53,0,0.77,0,0,1.53,0,5.36
120,0,0,0,1.96,1.96,3.92,0,3.92,0,0,1.96,0,0,0,0,5.88,0,15.68,1.96,0,0,0,0,0,0,0,1.96
