stage,blastomeres,erythrocytes,eye,gut,ionocyte,lateral.line,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0
 24-34,0,0,0,0,0,0.82,0,2.46,1.64,0.82,3.28,0,0
 36-46,0,0,0,0,0,1.61,0,2.42,0.81,0,2.42,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,3.93,0,0.98,0,0,12.76,0,0
 72-82,0,0,1.96,0.98,0,13.74,0,0,1.96,0,21.6,0,0
 84-94,0,0,1.06,0,0,21.24,0,0,1.06,0,35.05,0,1.06
 96-106,0,1.09,1.09,1.09,1.09,29.51,1.09,0,0,0,48.09,0,0
108-118,0,0,0,0,0,17.62,2.3,0,3.83,0,32.17,0,0.77
120,0,0,0,0,0,23.52,0,0,5.88,0,35.28,0,0
