stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,67,11,0,29,0,0,0,9,3,0,0,0,1,0,0,0,1,48,0,0,32,451,7,4,6,7,0,11,0,46,1,2,57,175,0,0,7,0,0
 24-34,0.82,4.93,50.89,2.46,0,114.92,0,1.64,1.64,31.19,0.82,0,4.93,0,2.46,0.82,2.46,2.46,1.64,118.2,1.64,2.46,58.28,1228.82,3.28,6.57,13.13,0,0.82,50.07,0,0.82,2.46,0,13.13,297.97,0,0,24.63,0,0
 36-46,0,1.61,20.14,4.03,0,246.53,0,4.83,4.83,67.68,0,0,2.42,2.42,0,0.81,4.03,0.81,0.81,157.11,2.42,4.03,44.31,1417.98,10.47,8.06,6.45,0,0,48.34,0,0,1.61,1.61,0,309.38,0,0,20.14,0,3.22
 48-58,0,0.57,22.95,0,0,376.42,1.15,4.59,8.03,98.12,1.72,0,2.3,3.44,1.15,2.3,5.16,1.15,2.3,263.38,1.72,7.46,47.63,1227.94,9.75,2.87,6.31,0,0,25.82,0,0,0.57,1.15,0,333.95,0,0.57,16.64,1.15,5.16
 60-70,0.98,0,36.32,4.91,0,659.58,1.96,5.89,7.85,135.45,4.91,0,6.87,4.91,1.96,1.96,6.87,0,3.93,399.48,6.87,11.78,40.24,1655.83,3.93,6.87,9.82,0,0.98,41.22,0,0,0.98,1.96,0,231.64,1.96,4.91,19.63,2.94,4.91
 72-82,1.96,0,43.19,24.54,0,385.79,0.98,7.85,19.63,137.43,7.85,0,6.87,9.82,5.89,7.85,11.78,1.96,0,419.17,2.94,13.74,35.34,1006.2,2.94,13.74,21.6,0,0,45.16,0.98,0,0.98,0.98,0,94.24,2.94,12.76,45.16,8.83,3.93
 84-94,3.19,3.19,79.65,11.68,1.06,353.66,1.06,15.93,12.74,115.76,11.68,3.19,3.19,22.3,9.56,9.56,9.56,2.12,5.31,323.92,4.25,16.99,35.05,603.24,8.5,11.68,23.36,0,4.25,100.89,0,0,5.31,1.06,0,71.16,10.62,14.87,44.61,6.37,6.37
 96-106,0,1.09,62.29,19.67,1.09,245.89,4.37,10.93,9.84,108.19,17.49,0,5.46,22.95,4.37,5.46,12.02,3.28,3.28,239.33,3.28,13.11,28.41,467.74,2.19,17.49,16.39,0,2.19,106.01,2.19,0,4.37,3.28,0,33.88,6.56,5.46,38.25,13.11,3.28
108-118,2.3,1.53,72,18.38,5.36,182.3,3.06,19.92,13.79,97.28,17.62,0,3.83,23.74,7.66,12.26,3.06,4.6,3.83,211.41,1.53,6.89,23.74,459.58,8.43,9.96,16.85,0,3.83,72,0,0,2.3,0.77,0,16.09,10.72,6.89,36.77,5.36,5.36
120,7.84,1.96,96.03,52.91,0,180.3,9.8,9.8,7.84,109.75,11.76,0,7.84,17.64,9.8,13.72,11.76,1.96,0,164.62,0,5.88,33.32,572.26,9.8,13.72,25.48,0,0,82.31,0,0,9.8,1.96,0,7.84,7.84,7.84,45.08,7.84,1.96
