stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,2.63,0,0,0,23.66,0,15.77,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,40.91,3.15,25.18,0,0,0,0
 14-21,0,0,0,5,2,2,1,1,0,1,2,0,14,0,0,1,1,4,3
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,1.64,6.57,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,0
