stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,2,36,0,0,0
 24-34,0.82,0,0,0,0,9.85,0,0,0,0.82,1.64,0,0.82,6.57,0,0,0,0,0,0,62.39,0,0.82,0
 36-46,0,0,0.81,0,0.81,5.64,0,0,0,0,0.81,0,1.61,3.22,0,0,0,0,0,0,26.59,0,0,0
 48-58,0,0,1.72,0,1.15,5.74,0,1.15,0.57,0,4.59,0,2.3,3.44,0.57,0,0,0.57,0,0,33.85,0,0,0
 60-70,0,0,1.96,0,0,6.87,0,2.94,0,0,8.83,0.98,1.96,2.94,0,0,0,0,0,0,19.63,0,0,0
 72-82,1.96,0,1.96,0,0,18.65,0,4.91,0,0,28.47,0.98,0.98,1.96,0.98,0,0,0,0,0,32.39,0.98,0,0
 84-94,0,0,1.06,1.06,1.06,11.68,0,5.31,1.06,0,19.12,3.19,0,4.25,0,0,0,0,2.12,0,27.61,0,0,2.12
 96-106,1.09,0,3.28,1.09,2.19,24.04,1.09,6.56,1.09,0,25.14,7.65,2.19,6.56,0,0,2.19,1.09,1.09,2.19,41.53,0,1.09,0
108-118,0.77,0.77,2.3,0.77,0,10.72,0,2.3,0,0,19.92,1.53,0,4.6,0,0,1.53,0,0.77,0.77,20.68,0,0.77,0.77
120,1.96,0,0,0,0,9.8,0,0,0,0,23.52,1.96,0,0,0,0,1.96,0,0,0,15.68,0,0,0
