stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,81.49,0,0,0,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,10.51,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,50.35,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,25.18,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,6,17,8,1,0,1,0,8,0,3,0,5,10,20,0,0,0,0,0
 24-34,0,0,1.64,0,5.75,0,0,4.1,0,0.82,1.64,0,0,0.82,0.82,0,0,0,1.64,0,5.75,0,0,7.39,91.12,0,9.03,0,0,0,38.58,0,0,0,0,0.82,26.27,0,0,4.1,0,0
 36-46,0,0,0.81,0,0.81,0,0,4.03,0.81,0,2.42,0,0,0,7.25,0.81,0,0,0,4.03,11.28,0,0,3.22,144.21,0.81,10.47,0,0,0,29.81,0.81,0,0,0.81,0,20.95,0,0,8.06,0,0
 48-58,0.57,0,0,0,1.72,0.57,0,8.03,1.72,0,6.31,0,0,0,7.46,0.57,1.15,1.15,1.15,13.77,30.41,1.15,0.57,8.61,169.85,4.02,7.46,0,0,0,25.82,0,0,0.57,2.3,0,24.67,0,0.57,13.77,0,0
 60-70,0,0,0.98,0,5.89,0.98,0,29.45,0,1.96,15.7,0.98,0,0.98,11.78,0,1.96,0,0,10.8,64.78,0,9.82,5.89,281.7,5.89,3.93,1.96,0,3.93,21.59,0,0,0,0.98,0,28.46,0,4.91,15.7,0.98,1.96
 72-82,0,0,5.89,0,5.89,0.98,0.98,53.99,0.98,0.98,46.14,12.76,0,2.94,10.8,0,3.93,0,4.91,5.89,158.05,0.98,13.74,8.83,355.36,5.89,4.91,3.93,0,3.93,13.74,0,0,1.96,0,0,23.56,0,13.74,50.06,15.71,1.96
 84-94,1.06,0,10.62,0,7.43,0,0,47.79,1.06,1.06,25.49,21.24,0,3.19,12.74,2.12,1.06,1.06,24.43,22.3,92.4,2.12,19.12,7.43,176.3,6.37,3.19,3.19,0,2.12,47.79,0,0,12.74,0,0,13.81,1.06,8.5,31.86,16.99,0
 96-106,0,0,7.65,0,13.11,4.37,0,55.74,3.28,2.19,34.97,63.39,0,1.09,8.74,0,1.09,0,92.89,12.02,138.79,1.09,17.49,13.11,184.69,9.84,9.84,2.19,0,10.93,31.69,0,0,22.95,4.37,0,12.02,1.09,8.74,52.46,15.3,0
108-118,0,0,6.89,0,9.19,0,1.53,32.17,3.83,1.53,31.4,235.15,0,1.53,12.26,0,2.3,0.77,105.7,12.26,107.23,1.53,12.26,9.19,233.62,12.26,3.06,2.3,0,5.36,18.38,0,0,33.7,2.3,0,17.62,1.53,3.83,38.3,19.92,0
120,0,0,9.8,0,5.88,1.96,0,52.91,5.88,3.92,39.2,182.26,0,0,31.36,0,0,0,66.63,1.96,117.59,1.96,3.92,13.72,264.57,5.88,5.88,0,0,7.84,15.68,0,1.96,19.6,1.96,0,19.6,1.96,7.84,19.6,17.64,0
